#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079770.1-p1      -            284 10406at5820          -            229    1e-139  461.9  26.2   1   1  2.1e-141  1.5e-138  458.1  26.2     1   229    27   282    27   282 0.96 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086150.1-p1      -            739 10406at5820          -            229       2.9    5.7  16.4   1   2      0.14        94    0.7   6.8   116   178   323   388   279   416 0.69 | transcript=PVX_086150.1 | gene=PVX_086150 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite protein, putative | transcript_product=circumsporozoite protein, putative | location=Pv_Sal1_chr13:1877708-1879927(+) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086150.1-p1      -            739 10406at5820          -            229       2.9    5.7  16.4   2   2   0.00022      0.15    9.9   2.0   193   227   702   736   678   738 0.87 | transcript=PVX_086150.1 | gene=PVX_086150 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite protein, putative | transcript_product=circumsporozoite protein, putative | location=Pv_Sal1_chr13:1877708-1879927(+) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10406at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:00 2026
# [ok]
