#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113920.1-p1      -            153 14675at5820          -            104   8.6e-60  198.0   4.5   1   2       1.3   2.5e+02    0.5   0.5     1     9     1     9     1    59 0.74 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14675at5820          -            104   6.8e-06   24.8   5.5   2   2   8.1e-05     0.016   14.0   0.6     3    83   294   377   292   389 0.80 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14675at5820          -            104   9.8e-06   24.3   1.7   1   3     0.099        19    4.1   0.1    54    84    56    86    17    95 0.80 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14675at5820          -            104   9.8e-06   24.3   1.7   2   3     0.003       0.6    8.9   0.1    25   102   131   209   113   211 0.91 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14675at5820          -            104   9.8e-06   24.3   1.7   3   3    0.0032      0.63    8.8   0.0    24    87   221   284   213   295 0.89 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14675at5820          -            104   1.9e-05   23.3  10.0   1   3       1.1   2.1e+02    0.7   0.3     4    37   706   739   703   771 0.73 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14675at5820          -            104   1.9e-05   23.3  10.0   2   3      0.18        35    3.2   0.5    14    99   871   970   863   974 0.60 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14675at5820          -            104   1.9e-05   23.3  10.0   3   3     3e-07   5.9e-05   21.8   0.2     5    82   979  1056   975  1071 0.91 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 14675at5820          -            104   2.9e-05   22.8   3.3   1   3       2.8   5.5e+02   -0.6   0.7    53    84    41    71    20    90 0.61 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 14675at5820          -            104   2.9e-05   22.8   3.3   2   3       8.5   1.7e+03   -2.2   0.1     7    25    85   103    76   117 0.67 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 14675at5820          -            104   2.9e-05   22.8   3.3   3   3   1.6e-07   3.2e-05   22.7   0.0     6    86   180   263   175   269 0.84 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 14675at5820          -            104   3.2e-05   22.6   2.8   1   3       2.7   5.4e+02   -0.6   0.2    65    90    28    54    10    70 0.60 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 14675at5820          -            104   3.2e-05   22.6   2.8   2   3   0.00064      0.13   11.1   0.0    16    72   122   180   110   194 0.78 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 14675at5820          -            104   3.2e-05   22.6   2.8   3   3   0.00098      0.19   10.5   0.0     9    69   199   259   189   295 0.86 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14675at5820          -            104   3.4e-05   22.5   0.0   1   3       3.3   6.6e+02   -0.8   0.0    16    71    92   148    86   154 0.74 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14675at5820          -            104   3.4e-05   22.5   0.0   2   3     0.015       2.9    6.7   0.0    14    86   189   263   183   275 0.85 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14675at5820          -            104   3.4e-05   22.5   0.0   3   3   0.00043     0.084   11.7   0.0    25    88   385   449   376   462 0.83 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 14675at5820          -            104   6.7e-05   21.6   0.1   1   1   5.2e-07    0.0001   21.0   0.1    16    85    39   109    22   118 0.84 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 14675at5820          -            104   9.4e-05   21.1   0.0   1   1   2.8e-06   0.00055   18.7   0.0    14    84   168   242   157   258 0.85 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 14675at5820          -            104   9.7e-05   21.1   1.6   1   5   4.9e-07   9.7e-05   21.1   1.6    22    96    21    95     3   101 0.89 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 14675at5820          -            104   9.7e-05   21.1   1.6   2   5    0.0011      0.22   10.3   0.3     3    79   310   384   308   393 0.83 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 14675at5820          -            104   9.7e-05   21.1   1.6   3   5       5.8   1.2e+03   -1.6   1.1    41    65   525   549   502   612 0.55 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 14675at5820          -            104   9.7e-05   21.1   1.6   4   5       6.8   1.3e+03   -1.8   0.6    64    98   652   686   646   690 0.78 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 14675at5820          -            104   9.7e-05   21.1   1.6   5   5       5.2     1e+03   -1.5   0.6     5    28   819   842   814   848 0.83 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 14675at5820          -            104   0.00022   20.0   0.3   1   2   1.1e-06   0.00022   20.0   0.3    13    90    91   169    79   173 0.87 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 14675at5820          -            104   0.00022   20.0   0.3   2   2       3.4   6.7e+02   -0.9   0.7     2    21   285   304   284   313 0.81 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 14675at5820          -            104   0.00053   18.7   0.5   1   1     4e-06   0.00079   18.2   0.5    15    86     7    85     2   105 0.76 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14675at5820          -            104   0.00069   18.4   0.1   1   2       4.1     8e+02   -1.1   0.0    11    44    15    48    12    70 0.72 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14675at5820          -            104   0.00069   18.4   0.1   2   2     2e-05     0.004   15.9   0.0    27    86   437   496   423   502 0.87 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 14675at5820          -            104    0.0011   17.8   0.1   1   2    0.0012      0.23   10.3   0.0    47    88    41    82     4    95 0.67 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 14675at5820          -            104    0.0011   17.8   0.1   2   2     0.062        12    4.7   0.0    52    90   144   185   135   195 0.73 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14675at5820          -            104    0.0022   16.8   0.0   1   2       7.8   1.5e+03   -2.0   0.0    53    74    48    69    12    92 0.73 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14675at5820          -            104    0.0022   16.8   0.0   2   2   3.1e-05    0.0061   15.3   0.0    26    88   169   231   156   240 0.88 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089755.1-p1      -            480 14675at5820          -            104    0.0027   16.5   0.0   1   1   3.7e-05    0.0073   15.1   0.0    13    85   406   478   397   480 0.93 | transcript=PVX_089755.1 | gene=PVX_089755 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:806049-808388(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14675at5820          -            104    0.0041   15.9   0.1   1   2      0.03       5.9    5.7   0.1     9    83   622   697   612   715 0.75 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14675at5820          -            104    0.0041   15.9   0.1   2   2    0.0091       1.8    7.4   0.0    23    94   738   810   735   820 0.88 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092560.1-p1      -           1836 14675at5820          -            104    0.0062   15.3   0.0   1   1   0.00018     0.036   12.8   0.0    17    77  1026  1086  1020  1110 0.82 | transcript=PVX_092560.1 | gene=PVX_092560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1504872-1510382(+) | protein_length=1836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 14675at5820          -            104     0.012   14.3   0.5   1   1   8.2e-05     0.016   14.0   0.5    16    91    12    88     4    97 0.84 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 14675at5820          -            104     0.017   13.9   3.3   1   2      0.38        75    2.2   0.3    52    86    81   115    33   130 0.71 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 14675at5820          -            104     0.017   13.9   3.3   2   2    0.0003      0.06   12.1   0.2    10    82   208   280   201   284 0.90 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084415.1-p1      -            182 14675at5820          -            104     0.019   13.7   0.2   1   1   0.00015     0.029   13.1   0.2    15    98    86   172    66   176 0.79 | transcript=PVX_084415.1 | gene=PVX_084415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:278603-279666(+) | protein_length=182 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14675at5820.hmm
