#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079725.1-p1      -            250 10996at5820          -            217  1.3e-123  409.1  16.9   1   1    1e-125  6.2e-123  406.9  16.9     1   217    15   249    15   249 0.95 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 10996at5820          -            217     2e-33  114.3  52.8   2   5   2.7e-12   1.6e-09   36.1   4.3    88   146   293   351   286   356 0.88 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 10996at5820          -            217     2e-33  114.3  52.8   3   5   5.7e-10   3.5e-07   28.5   2.9    89   148   355   414   351   418 0.89 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 10996at5820          -            217     2e-33  114.3  52.8   4   5   1.1e-09   6.8e-07   27.6   6.5    89   158   416   486   413   494 0.84 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 10996at5820          -            217     2e-33  114.3  52.8   5   5   1.6e-05    0.0098   14.0   1.0    97   132   485   518   478   525 0.82 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10996at5820          -            217   2.9e-32  110.5  35.8   1   4   8.2e-10     5e-07   28.0   5.5    65   146    32   107    22   111 0.80 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10996at5820          -            217   2.9e-32  110.5  35.8   2   4   7.3e-15   4.5e-12   44.5   9.3    87   186   109   209   107   215 0.84 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10996at5820          -            217   2.9e-32  110.5  35.8   3   4   1.5e-06   0.00094   17.3   3.4    66   146   155   229   155   235 0.86 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 10996at5820          -            217   2.9e-32  110.5  35.8   4   4   3.3e-16     2e-13   48.9   6.2    65   187   215   338   211   347 0.89 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 10996at5820          -            217   1.4e-30  105.1  51.3   1   4   1.4e-10   8.7e-08   30.5   5.9    57   136    74   150    25   155 0.80 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 10996at5820          -            217   1.4e-30  105.1  51.3   2   4     1e-21   6.4e-19   66.9  17.2    67   198   156   286   151   287 0.85 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 10996at5820          -            217   1.4e-30  105.1  51.3   3   4    0.0011       0.7    7.9   9.3    92   147   296   353   277   364 0.79 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 10996at5820          -            217   1.4e-30  105.1  51.3   4   4   9.3e-05     0.057   11.5   0.4    83   131   365   413   355   418 0.80 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 10996at5820          -            217   6.8e-26   89.7  41.7   1   4   7.7e-10   4.7e-07   28.1   1.8   131   189   233   292   206   296 0.88 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 10996at5820          -            217   6.8e-26   89.7  41.7   2   4     3e-10   1.8e-07   29.4   7.7   112   190   274   356   271   359 0.88 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 10996at5820          -            217   6.8e-26   89.7  41.7   3   4   1.5e-12   9.3e-10   37.0  11.8    66   189   360   485   356   489 0.87 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 10996at5820          -            217   6.8e-26   89.7  41.7   4   4   6.9e-06    0.0043   15.2   1.2    67   128   490   547   486   553 0.86 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 10996at5820          -            217   1.7e-20   72.0  33.4   1   5   2.3e-13   1.4e-10   39.6   3.3    27   155   166   288   140   305 0.79 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 10996at5820          -            217   1.7e-20   72.0  33.4   2   5   1.7e-07    0.0001   20.4   3.5    99   170   309   382   304   386 0.82 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 10996at5820          -            217   1.7e-20   72.0  33.4   3   5   6.4e-05     0.039   12.0   1.1    92   149   364   425   360   429 0.79 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 10996at5820          -            217   1.7e-20   72.0  33.4   4   5   5.2e-08   3.2e-05   22.1   2.3    67   146   410   487   405   499 0.81 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 10996at5820          -            217   1.7e-20   72.0  33.4   5   5    0.0024       1.5    6.9   0.9    87   140   490   543   484   558 0.83 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 10996at5820          -            217   1.7e-13   49.2  12.4   1   2   0.00033       0.2    9.7   0.3    66   146    57   141    20   144 0.61 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 10996at5820          -            217   1.7e-13   49.2  12.4   2   2   1.5e-14   9.4e-12   43.5   6.6    84   188   142   246   141   248 0.89 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114330.1-p1      -            185 10996at5820          -            217     0.014   13.5   5.6   1   1   3.4e-05     0.021   12.9   5.1   134   188    98   152    68   167 0.85 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10996at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:05 2026
# [ok]
