#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117050.1-p1      -            250 12195at5820          -            218  1.2e-107  356.8  28.6   1   1    3e-110  2.4e-107  355.8  28.6     3   217     7   249     5   250 0.92 | transcript=PVX_117050.1 | gene=PVX_117050 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1498301-1499396(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 12195at5820          -            218   2.9e-05   22.0  20.0   1   2    0.0017       1.3    6.8  12.8    72   167    25   123    18   127 0.67 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 12195at5820          -            218   2.9e-05   22.0  20.0   2   2   3.4e-07   0.00027   18.8   0.6   132   203   140   209   132   216 0.84 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 12195at5820          -            218   4.4e-05   21.4   0.2   1   3    0.0034       2.7    5.8   1.3    96   162    24    86    14   104 0.80 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 12195at5820          -            218   4.4e-05   21.4   0.2   2   3   5.6e-08   4.4e-05   21.4   0.2   127   201   100   172    90   178 0.88 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 12195at5820          -            218   4.4e-05   21.4   0.2   3   3       3.4   2.7e+03   -4.0   3.4     6    40   196   230   181   241 0.58 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12195at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:03 2026
# [ok]
