#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   1  18   1.7e-18   3.1e-15   52.7   0.0     1    63     1    70     1    77 0.92 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  12  18   3.8e-74     7e-71  237.3  10.6  1561  1740  2745  2944  2713  2962 0.78 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  13  18         3   5.5e+03  -10.6  11.1  1699  1745  3090  3141  3010  3156 0.71 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  14  18  7.8e-178  1.4e-174  581.2  54.3  1754  2082  3230  3568  3223  3571 0.97 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  15  18     0.011        20    0.2   0.1  2083  2105  3618  3640  3607  3642 0.87 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  16  18   4.1e-63   7.5e-60  200.7   5.1  2106  2231  3681  3807  3679  3811 0.97 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  17  18   1.4e-38   2.6e-35  119.3   0.3  2230  2310  3974  4074  3963  4077 0.84 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  18  18  4.6e-147  8.5e-144  479.2  22.4  2302  2515  4149  4367  4128  4367 0.94 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098050.1-p1      -           1525 338at5820            -           2515   9.9e-32  107.4   3.6   1   2     0.013        23    0.0   0.0  2233  2280  1265  1312  1257  1316 0.88 | transcript=PVX_098050.1 | gene=PVX_098050 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr10:937601-943077(-) | protein_length=1525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098050.1-p1      -           1525 338at5820            -           2515   9.9e-32  107.4   3.6   2   2   6.4e-34   1.2e-30  103.9   4.2  2313  2514  1318  1524  1313  1525 0.84 | transcript=PVX_098050.1 | gene=PVX_098050 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr10:937601-943077(-) | protein_length=1525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 338at5820            -           2515   1.6e-14   50.3   5.8   1   3      0.34   6.3e+02   -4.7  14.0   186   324  1001  1143   978  1151 0.79 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 338at5820            -           2515   1.6e-14   50.3   5.8   2   3      0.11   2.1e+02   -3.1   4.3   410   465  1364  1421  1344  1447 0.55 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 338at5820            -           2515   1.6e-14   50.3   5.8   3   3   8.9e-18   1.6e-14   50.3   5.8  2238  2497  1523  1761  1508  1773 0.80 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/338at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/338at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/338at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:40 2026
# [ok]
