#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081810.1-p1      -           1311 1802at5820           -            635         0 1015.5 101.2   1   4   1.1e-18   5.2e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   6   6   0.00068      0.32    7.8   4.7   497   624  2685  2823  2621  2827 0.75 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 1802at5820           -            635   3.8e-13   47.2   7.4   1   2     6e-12   2.8e-09   34.4   0.4   329   386   987  1044   975  1052 0.90 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 1802at5820           -            635   3.8e-13   47.2   7.4   2   2   1.5e-09     7e-07   26.5   1.6   338   388  1893  1944  1886  1956 0.87 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 1802at5820           -            635   8.9e-13   46.0  50.8   1   4     0.077        36    1.1   0.1   575   621    94   146    61   156 0.83 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 1802at5820           -            635   8.9e-13   46.0  50.8   2   4   9.9e-08   4.6e-05   20.5  29.4   175   390   242   468   163   474 0.68 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 1802at5820           -            635   8.9e-13   46.0  50.8   3   4   3.8e-10   1.7e-07   28.5   0.1   340   390   618   668   612   671 0.93 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 1802at5820           -            635   8.9e-13   46.0  50.8   4   4    0.0038       1.7    5.4   2.6   236   391   675   837   670   862 0.72 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 1802at5820           -            635   7.8e-12   42.9   6.9   1   2       1.9   8.7e+02   -3.5   3.1   135   266  1823  1963  1809  1981 0.61 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 1802at5820           -            635   7.8e-12   42.9   6.9   2   2   1.7e-14   7.8e-12   42.9   6.9   335   620  2115  2422  2095  2430 0.71 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 1802at5820           -            635   6.1e-11   39.9   8.6   1   2   7.3e-08   3.4e-05   20.9   1.1   307   385  2776  2854  2748  2861 0.85 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 1802at5820           -            635   6.1e-11   39.9   8.6   2   2   3.7e-08   1.7e-05   21.9   1.2   335   393  3367  3425  3344  3436 0.83 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 1802at5820           -            635   1.7e-09   35.2  20.4   1   3   6.8e-11   3.1e-08   31.0   2.1   313   386   874   947   828   950 0.76 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 1802at5820           -            635   1.7e-09   35.2  20.4   2   3   3.1e-06    0.0014   15.6   3.1   315   394  1883  1958  1860  1985 0.89 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 1802at5820           -            635   1.7e-09   35.2  20.4   3   3       1.3     6e+02   -3.0   0.9   155   211  2754  2810  2742  2884 0.80 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122680.1-p1      -           2566 1802at5820           -            635   4.2e-07   27.2   2.1   1   2       3.3   1.5e+03   -4.3  11.8   167   260   267   348   211   364 0.57 | transcript=PVX_122680.1 | gene=PVX_122680 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:785708-793408(+) | protein_length=2566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122680.1-p1      -           2566 1802at5820           -            635   4.2e-07   27.2   2.1   2   2   9.1e-10   4.2e-07   27.2   2.1   337   406  1270  1340  1257  1367 0.81 | transcript=PVX_122680.1 | gene=PVX_122680 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:785708-793408(+) | protein_length=2566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 1802at5820           -            635   3.8e-06   24.1  13.3   1   2   8.4e-08   3.9e-05   20.8   1.3   332   390    46   104    18   126 0.83 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 1802at5820           -            635   3.8e-06   24.1  13.3   2   2   0.00051      0.24    8.2   4.8   530   620   753   837   735   841 0.86 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091420.1-p1      -            240 1802at5820           -            635    0.0044   14.0   2.9   1   1    0.0016      0.72    6.6   2.9   351   385   137   171   112   240 0.63 | transcript=PVX_091420.1 | gene=PVX_091420 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:504403-505606(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085575.1-p1      -            478 1802at5820           -            635     0.019   11.9   1.1   1   1   6.2e-05     0.029   11.3   1.1    88   177   367   461   362   469 0.73 | transcript=PVX_085575.1 | gene=PVX_085575 | organism=Plasmodium_vivax_Sal-1 | gene_product=H/ACA ribonucleoprotein complex subunit 4, putative | transcript_product=H/ACA ribonucleoprotein complex subunit 4, putative | location=Pv_Sal1_chr13:1309170-1310606(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1802at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:49 2026
# [ok]
