#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081560.1-p1      -            159 14674at5820          -            109   1.2e-38  129.9  24.8   1   3   1.2e-07   6.8e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVX_081560.1 | gene=PVX_081560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:439477-440434(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111290.1-p1      -            387 14674at5820          -            109      0.37    9.2  16.0   1   2   5.5e-05      0.03   12.7   4.7     2    62     2    62     1    63 0.86 | transcript=PVX_111290.1 | gene=PVX_111290 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite TRAP-like protein, putative | transcript_product=merozoite TRAP-like protein, putative | location=Pv_Sal1_chr06:581291-582454(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111290.1-p1      -            387 14674at5820          -            109      0.37    9.2  16.0   2   2       0.2   1.1e+02    1.3   4.9    29    42    62    75    61   110 0.81 | transcript=PVX_111290.1 | gene=PVX_111290 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite TRAP-like protein, putative | transcript_product=merozoite TRAP-like protein, putative | location=Pv_Sal1_chr06:581291-582454(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:05 2026
# [ok]
