#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085775.1-p1      -            351 8708at5820           -            293    3e-185  612.6   5.3   1   1  7.6e-188  3.8e-185  612.3   5.3     9   293    64   350    47   350 0.98 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 8708at5820           -            293   1.8e-09   35.7   3.2   1   4     0.093        47    1.4   0.0    73    96   116   139   107   146 0.88 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 8708at5820           -            293   1.8e-09   35.7   3.2   2   4   2.9e-05     0.015   12.9   0.1   182   258   222   298   205   315 0.88 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 8708at5820           -            293   1.8e-09   35.7   3.2   3   4   0.00057      0.28    8.7   0.0    61    96   371   411   349   419 0.73 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 8708at5820           -            293   1.8e-09   35.7   3.2   4   4   0.00028      0.14    9.7   0.1   181   249   472   540   455   560 0.80 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 8708at5820           -            293   1.1e-08   33.0   2.2   1   2   1.7e-06   0.00085   17.0   0.1    63   101    24    62    13    80 0.88 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 8708at5820           -            293   1.1e-08   33.0   2.2   2   2   3.8e-06    0.0019   15.8   0.4   192   255   131   195   113   229 0.82 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 8708at5820           -            293   2.5e-08   31.8   5.3   1   3      0.24   1.2e+02    0.1   0.1     2    34   296   329   295   347 0.77 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 8708at5820           -            293   2.5e-08   31.8   5.3   2   3   1.5e-07   7.6e-05   20.4   0.1    54   100   492   538   477   565 0.86 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 8708at5820           -            293   2.5e-08   31.8   5.3   3   3     6e-05      0.03   11.9   0.2   189   279   710   797   696   801 0.86 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 8708at5820           -            293   8.9e-07   26.8  19.2   1   3    0.0001     0.052   11.1   1.3    38    98   166   227   136   246 0.74 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 8708at5820           -            293   8.9e-07   26.8  19.2   2   3   1.1e-06   0.00057   17.6   0.4    41   102   794   859   755   867 0.66 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 8708at5820           -            293   8.9e-07   26.8  19.2   3   3    0.0011      0.57    7.7   2.6   164   252  1000  1087   990  1107 0.74 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 8708at5820           -            293   1.6e-05   22.7   2.0   1   2   8.6e-06    0.0043   14.7   0.1    58   108   568   616   538   634 0.84 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 8708at5820           -            293   1.6e-05   22.7   2.0   2   2    0.0019      0.97    7.0   0.3   195   267   703   774   664   782 0.81 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 8708at5820           -            293     4e-05   21.4   1.3   1   2       0.1        50    1.3   0.0    65    94   618   647   606   655 0.72 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 8708at5820           -            293     4e-05   21.4   1.3   2   2     8e-07    0.0004   18.1   0.3   191   272   816   894   795   902 0.89 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8708at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8708at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8708at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:12 2026
# [ok]
