#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   1   6    0.0031       1.4    4.6   0.0    10    26    25    41     1    50 0.72 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   6   6   5.2e-27   2.4e-24   83.4   0.2   953  1051  1484  1582  1483  1588 0.91 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 865at5820            -           1065     2e-32  110.1  31.3   1   3   8.3e-17   3.8e-14   49.6   9.9   426   742   337   602   323   619 0.78 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 865at5820            -           1065     2e-32  110.1  31.3   2   3   1.3e-18   6.1e-16   55.5   1.4   959  1057   692   790   612   794 0.88 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 865at5820            -           1065     2e-32  110.1  31.3   3   3    0.0038       1.7    4.3   3.8   123   181   903   961   898  1039 0.87 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 865at5820            -           1065   3.2e-32  109.4  19.7   1   4   0.00045      0.21    7.4   0.0   426   447   569   590   550   598 0.85 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 865at5820            -           1065   3.2e-32  109.4  19.7   2   4   4.2e-14   1.9e-11   40.6   9.4   554   745   655   842   606   848 0.81 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 865at5820            -           1065   3.2e-32  109.4  19.7   3   4   0.00026      0.12    8.2   0.9   860   933  1392  1465  1382  1469 0.83 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 865at5820            -           1065   3.2e-32  109.4  19.7   4   4   5.1e-19   2.4e-16   56.9   0.1   959  1048  1469  1557  1463  1568 0.82 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 865at5820            -           1065   1.7e-26   90.5   5.5   1   3   7.4e-05     0.034   10.0   0.0   426   448   713   735   701   820 0.64 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 865at5820            -           1065   1.7e-26   90.5   5.5   2   3   8.5e-14   3.9e-11   39.6   5.2   558   748   818  1009   784  1016 0.78 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 865at5820            -           1065   1.7e-26   90.5   5.5   3   3   3.1e-13   1.4e-10   37.7   0.0   959  1049  1123  1214  1031  1223 0.87 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 865at5820            -           1065   1.5e-25   87.3  26.8   1   3      0.28   1.3e+02   -1.9   2.8    76   153  1207  1287  1202  1296 0.75 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 865at5820            -           1065   1.5e-25   87.3  26.8   2   3   4.4e-12     2e-09   33.9   6.0   478   741  1427  1675  1367  1684 0.76 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 865at5820            -           1065   1.5e-25   87.3  26.8   3   3   1.4e-18   6.6e-16   55.4   2.4   858  1048  1684  1854  1677  1860 0.86 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 865at5820            -           1065   1.6e-25   87.3   2.5   1   3   1.6e-09   7.1e-07   25.5   0.2   477   635   397   539   362   616 0.69 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 865at5820            -           1065   1.6e-25   87.3   2.5   2   3      0.85   3.9e+02   -3.4   0.0   724   761   669   717   665   731 0.68 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 865at5820            -           1065   1.6e-25   87.3   2.5   3   3   1.4e-18   6.4e-16   55.5   0.1   959  1057  1272  1371  1260  1378 0.85 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 865at5820            -           1065   7.9e-22   75.0   4.4   1   2   3.5e-09   1.6e-06   24.3   0.5   558   621   249   312    54   435 0.70 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 865at5820            -           1065   7.9e-22   75.0   4.4   2   2   1.3e-14     6e-12   42.3   0.3   898  1039   538   678   497   696 0.72 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   1   6    0.0068       3.1    3.5   0.5   278   349   169   237   150   244 0.73 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   2   6    0.0053       2.4    3.9   0.0   424   445   242   263   236   275 0.77 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   3   6   1.4e-07   6.4e-05   19.0   5.2   478   621   274   406   267   419 0.76 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   4   6       2.3   1.1e+03   -4.9   2.3   139   688   525   571   511   591 0.48 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   5   6    0.0004      0.18    7.6   3.9   849   904   800   857   729   869 0.78 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 865at5820            -           1065   1.3e-20   71.0  38.6   6   6   1.9e-19   8.9e-17   58.3   0.0   959  1030  1003  1074   987  1093 0.91 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 865at5820            -           1065   1.2e-10   38.0   0.3   1   4       2.1   9.5e+02   -4.7   1.0   352   452   142   240   137   253 0.59 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 865at5820            -           1065   1.2e-10   38.0   0.3   2   4     0.079        36   -0.0   0.0   428   447   334   353   326   358 0.84 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 865at5820            -           1065   1.2e-10   38.0   0.3   3   4    0.0064       2.9    3.6   0.1   560   610   414   466   377   487 0.81 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 865at5820            -           1065   1.2e-10   38.0   0.3   4   4   2.6e-13   1.2e-10   38.0   0.3   956  1048   683   776   670   789 0.87 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 865at5820            -           1065     0.017   11.0   0.6   1   1   5.1e-05     0.023   10.5   0.6   787   837   360   406   324   419 0.83 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089745.1-p1      -            730 865at5820            -           1065      0.14    7.9   4.8   1   1   0.00045      0.21    7.4   4.8   780   837    69   122    47   144 0.81 | transcript=PVX_089745.1 | gene=PVX_089745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:797468-799660(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/865at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/865at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/865at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:00 2026
# [ok]
