#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   1   5   7.4e-21   3.4e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4272at5820           -            672   6.1e-09   33.0   3.8   3   4    0.0043         2    4.8   2.4   358   397   462   501   450   512 0.88 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4272at5820           -            672   6.1e-09   33.0   3.8   4   4       1.1   5.1e+02   -3.1   6.3    34   121   668   760   661   795 0.62 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116940.1-p1      -            443 4272at5820           -            672   4.5e-08   30.1   2.6   1   1   1.9e-10   8.9e-08   29.1   2.6   547   640   341   434   331   442 0.81 | transcript=PVX_116940.1 | gene=PVX_116940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1410135-1411635(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111235.1-p1      -            441 4272at5820           -            672   9.8e-08   29.0   8.6   1   3     0.017         8    2.8   0.0   186   233    69   116    52   132 0.62 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111235.1-p1      -            441 4272at5820           -            672   9.8e-08   29.0   8.6   2   3   0.00029      0.13    8.7   4.3   319   421   130   230   116   242 0.80 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111235.1-p1      -            441 4272at5820           -            672   9.8e-08   29.0   8.6   3   3     3e-07   0.00014   18.6   0.2   476   608   258   390   246   435 0.85 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 4272at5820           -            672   1.3e-06   25.3   1.2   1   2      0.11        52    0.2   5.5   313   390   398   474   384   484 0.85 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 4272at5820           -            672   1.3e-06   25.3   1.2   2   2   2.8e-09   1.3e-06   25.3   1.2   292   389   491   588   476   605 0.79 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 4272at5820           -            672   5.2e-06   23.3   2.1   1   2   0.00032      0.15    8.6   0.1   330   379    61   110    47   119 0.88 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 4272at5820           -            672   5.2e-06   23.3   2.1   2   2   6.5e-06     0.003   14.2   0.2   497   606   329   437   325   440 0.93 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4272at5820           -            672   9.2e-06   22.5  27.6   1   4      0.14        64   -0.2   0.1   290   340   107   163    91   182 0.57 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4272at5820           -            672   9.2e-06   22.5  27.6   2   4     6e-08   2.8e-05   20.9   8.9   212   386   184   359   171   365 0.92 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4272at5820           -            672   9.2e-06   22.5  27.6   3   4   5.9e-06    0.0027   14.3   7.0   225   380   271   427   267   435 0.90 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4272at5820           -            672   9.2e-06   22.5  27.6   4   4    0.0023       1.1    5.7   7.9   214   352   372   516   368   535 0.66 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   1   8         2     9e+02   -4.0   0.2   216   260   121   165    77   188 0.48 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   2   8     0.011       5.1    3.5   0.0   216   244   297   325   254   334 0.84 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   3   8    0.0013      0.58    6.6   1.8   215   308   405   498   402   506 0.91 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   4   8     0.013       6.2    3.2   0.1   212   251   521   560   502   564 0.84 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   5   8    0.0017      0.78    6.2   0.5   324   385   636   697   616   712 0.82 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   6   8       0.1        46    0.3   6.4   213   308   710   803   695   809 0.84 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   7   8     0.023        10    2.4   0.3   450   537   858   945   847   957 0.81 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4272at5820           -            672     0.001   15.7  41.6   8   8   3.9e-06    0.0018   14.9   0.2   548   605  1027  1084  1023  1095 0.90 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000635.1-p1      -            360 4272at5820           -            672    0.0071   12.9   0.7   1   1   2.1e-05    0.0098   12.5   0.7   491   571   156   235   141   239 0.90 | transcript=PVX_000635.1 | gene=PVX_000635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:419454-420536(-) | protein_length=360 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4272at5820           -            672         2    4.8  17.0   1   4    0.0062       2.8    4.3   0.0   327   351   197   221   186   244 0.75 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4272at5820           -            672         2    4.8  17.0   2   4     0.014       6.4    3.2   4.3   238   287   341   389   333   403 0.78 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4272at5820           -            672         2    4.8  17.0   3   4    0.0081       3.7    3.9   0.3   215   265   393   445   390   450 0.84 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4272at5820           -            672         2    4.8  17.0   4   4      0.18        83   -0.5   0.1   224   248   563   587   551   639 0.64 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:58 2026
# [ok]
