#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084970.1-p1      -            936 7873at5820           -            702  1.2e-257  855.0   0.0   1   1  1.5e-258  5.2e-256  849.6   0.0     2   690    11   909    10   931 0.76 | transcript=PVX_084970.1 | gene=PVX_084970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:815805-818912(+) | protein_length=936 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090225.1-p1      -            289 7873at5820           -            702      0.14    8.7  16.4   1   1   0.00058       0.2    8.1  16.4   170   256    53   157    27   181 0.53 | transcript=PVX_090225.1 | gene=PVX_090225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1242797-1243802(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 7873at5820           -            702      0.23    7.9   8.3   1   1   0.00096      0.33    7.4   8.3   165   198    82   115    59   139 0.55 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 7873at5820           -            702      0.42    7.0  11.9   1   1    0.0015      0.53    6.7  11.9   498   573     6    82     1    88 0.61 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 7873at5820           -            702         1    5.7  17.0   1   2   0.00049      0.17    8.3   1.8   492   565   237   311   226   334 0.53 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 7873at5820           -            702         1    5.7  17.0   2   2     0.027       9.3    2.6   7.7   418   497   812   892   806   960 0.56 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 7873at5820           -            702       1.7    5.0  12.8   1   1    0.0093       3.2    4.1  12.8   144   220    33   108    18   146 0.55 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 7873at5820           -            702       3.1    4.2  53.9   1   3      0.24        83   -0.5   0.3   245   263    60    79     8   115 0.59 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 7873at5820           -            702       3.1    4.2  53.9   2   3    0.0011      0.37    7.2  33.9   141   240   251   354   236   379 0.39 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 7873at5820           -            702       3.1    4.2  53.9   3   3    0.0017      0.57    6.6   6.2   169   203   445   476   426   610 0.68 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 7873at5820           -            702       3.7    3.9  17.2   1   1     0.021       7.2    3.0  17.2   436   545   629   731   611   753 0.50 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091600.1-p1      -            316 7873at5820           -            702       8.2    2.8  25.8   1   1     0.037        13    2.2  25.8   455   555   188   289   180   309 0.58 | transcript=PVX_091600.1 | gene=PVX_091600 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=Pv_Sal1_chr09:634501-635451(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093565.1-p1      -           1759 7873at5820           -            702       9.8    2.5  29.1   1   2     0.026       9.1    2.6   9.0   106   203  1050  1147  1033  1208 0.45 | transcript=PVX_093565.1 | gene=PVX_093565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:638670-647418(-) | protein_length=1759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093565.1-p1      -           1759 7873at5820           -            702       9.8    2.5  29.1   2   2    0.0044       1.5    5.2  12.1   178   223  1311  1355  1293  1397 0.41 | transcript=PVX_093565.1 | gene=PVX_093565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:638670-647418(-) | protein_length=1759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:13 2026
# [ok]
