#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098020.1-p1      -           1455 1309at5820           -           1140         0 2013.4 133.3   1   4     1e-57   1.4e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122740.1-p1      -           1218 1309at5820           -           1140   4.8e-37  125.5 139.6   1   1   4.7e-40   6.6e-37  125.0 139.6     5  1121     3  1172     1  1185 0.71 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089660.1-p1      -           1193 1309at5820           -           1140    0.0018   14.3 176.6   1   1   7.4e-06      0.01   11.8 176.6     5  1122     3  1160     1  1169 0.67 | transcript=PVX_089660.1 | gene=PVX_089660 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome associated protein, putative | transcript_product=chromosome associated protein, putative | location=Pv_Sal1_chr05:728542-735421(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1309at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:42 2026
# [ok]
