#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122625.1-p1      -            341 8608at5820           -            286  3.2e-170  563.1   5.2   1   1  2.7e-172  3.8e-170  562.9   5.2     1   286    28   341    28   341 0.94 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 8608at5820           -            286   1.3e-16   59.0   5.4   1   1     3e-18   4.3e-16   57.3   5.4     2   199    70   276    69   286 0.78 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 8608at5820           -            286   9.8e-16   56.1   4.8   1   1   1.2e-17   1.7e-15   55.4   4.8     2   191     3   201     2   220 0.79 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 8608at5820           -            286   8.7e-15   53.0   1.8   1   2   8.1e-17   1.1e-14   52.6   1.2     3   194    12   212    10   229 0.79 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 8608at5820           -            286   8.7e-15   53.0   1.8   2   2       4.4   6.3e+02   -2.3   0.0   256   285   240   270   236   271 0.77 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 8608at5820           -            286   2.4e-12   45.0   1.2   1   2         5   7.1e+02   -2.5   0.1   161   207    35    84    31   108 0.51 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 8608at5820           -            286   2.4e-12   45.0   1.2   2   2   1.7e-14   2.4e-12   45.0   1.2     3   205   111   317   109   328 0.77 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 8608at5820           -            286   1.6e-11   42.3   3.5   1   1     2e-13   2.9e-11   41.5   3.5     3   204   108   317   106   361 0.70 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 8608at5820           -            286   2.1e-11   41.9  13.6   1   1   7.5e-13   1.1e-10   39.6  13.6     2   201    21   228    20   267 0.73 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 8608at5820           -            286   2.4e-11   41.7   0.0   1   1   2.6e-13   3.8e-11   41.1   0.0     3   194    33   229    31   234 0.81 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8608at5820           -            286   4.3e-11   40.9   0.3   1   1   9.7e-13   1.4e-10   39.3   0.3     7   196   546   738   540   752 0.74 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 8608at5820           -            286   6.8e-11   40.3   7.6   1   2     0.011       1.6    6.3   0.0     2    24   797   819   796   940 0.81 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 8608at5820           -            286   6.8e-11   40.3   7.6   2   2   2.9e-10   4.2e-08   31.1   4.5    87   276  1142  1359  1096  1370 0.63 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 8608at5820           -            286     2e-10   38.7   6.8   1   2   2.6e-07   3.7e-05   21.4   2.7     2   143    14   167    13   173 0.65 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 8608at5820           -            286     2e-10   38.7   6.8   2   2   1.6e-06   0.00023   18.9   0.1   137   189   182   238   176   258 0.76 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 8608at5820           -            286   1.2e-09   36.2   4.0   1   2   2.5e-08   3.6e-06   24.8   2.0     3   135   556   690   554   699 0.82 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 8608at5820           -            286   1.2e-09   36.2   4.0   2   2   0.00045     0.064   10.8   0.0   153   189   738   773   718   790 0.81 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8608at5820           -            286   5.2e-09   34.1   7.9   1   3    0.0002     0.028   12.0   0.0    85   166   168   266   152   272 0.69 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8608at5820           -            286   5.2e-09   34.1   7.9   2   3   1.1e-08   1.5e-06   26.0   0.1   170   285   479   594   474   595 0.72 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8608at5820           -            286   5.2e-09   34.1   7.9   3   3       6.6   9.3e+02   -2.8   0.3    77   115   606   645   605   665 0.69 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 8608at5820           -            286   5.5e-09   34.0   4.2   1   3      0.84   1.2e+02    0.1   0.0     2    53    53   109    52   121 0.75 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 8608at5820           -            286   5.5e-09   34.0   4.2   2   3      0.18        26    2.3   0.1   106   134   181   213   149   218 0.82 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 8608at5820           -            286   5.5e-09   34.0   4.2   3   3   4.5e-10   6.4e-08   30.5   0.3   137   222   701   786   696   837 0.77 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 8608at5820           -            286   1.4e-08   32.7   1.9   1   1   3.1e-10   4.4e-08   31.0   1.9     3   202   458   665   456   672 0.74 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 8608at5820           -            286   5.6e-08   30.7   4.1   1   1   2.4e-09   3.4e-07   28.1   4.1     9   196  1345  1551  1340  1564 0.72 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 8608at5820           -            286   7.2e-08   30.3   1.8   1   1   3.7e-09   5.3e-07   27.5   1.8     9   197   164   358   157   367 0.68 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101265.1-p1      -            730 8608at5820           -            286   1.1e-07   29.7   9.1   1   1     1e-08   1.5e-06   26.0   9.1     6   189    27   237    22   248 0.67 | transcript=PVX_101265.1 | gene=PVX_101265 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin g-associated kinase, putative | transcript_product=cyclin g-associated kinase, putative | location=Pv_Sal1_chr14:2759960-2762152(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 8608at5820           -            286   2.4e-07   28.6   1.6   1   2     0.082        12    3.4   0.5   105   137   960   995   911  1000 0.61 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 8608at5820           -            286   2.4e-07   28.6   1.6   2   2   7.3e-08     1e-05   23.3   0.0   152   194  1102  1143  1082  1150 0.84 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 8608at5820           -            286   4.5e-07   27.7   2.7   1   1   1.6e-06   0.00023   18.8   2.7     3   135   119   252   117   364 0.71 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 8608at5820           -            286   4.2e-06   24.6   2.2   1   1   2.9e-08   4.2e-06   24.6   2.2   106   211  1801  1914  1724  1949 0.77 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 8608at5820           -            286   6.9e-06   23.8   0.8   1   1   5.8e-07   8.2e-05   20.3   0.8     2   147     8   156     7   181 0.71 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 8608at5820           -            286   5.6e-05   20.9   1.0   1   1   7.5e-07   0.00011   19.9   1.0    91   194  3039  3172  2951  3194 0.64 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 8608at5820           -            286   8.9e-05   20.2   0.0   1   1   6.7e-06   0.00095   16.8   0.0     7   146   405   581   399   649 0.54 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 8608at5820           -            286   0.00018   19.2   4.2   1   3       1.7   2.5e+02   -1.0   0.1   233   264   132   163   109   179 0.63 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 8608at5820           -            286   0.00018   19.2   4.2   2   3   2.9e-06   0.00042   18.0   1.8    87   201   182   299   133   308 0.68 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 8608at5820           -            286   0.00018   19.2   4.2   3   3       2.4   3.4e+02   -1.4   0.0   255   275   322   342   307   352 0.74 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 8608at5820           -            286    0.0003   18.4   0.1   1   1   5.8e-06   0.00082   17.0   0.1     6   188    35   234    30   270 0.62 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8608at5820.hmm
