#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090175.1-p1      -            388 6857at5820           -            381  4.3e-271  896.6   4.7   1   1  3.3e-273  4.9e-271  896.4   4.7     1   381     7   388     7   388 1.00 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 6857at5820           -            381   4.5e-54  182.2   0.0   1   1   4.4e-56   6.6e-54  181.7   0.0    11   364   220   587   217   600 0.87 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 6857at5820           -            381   4.4e-52  175.7   0.8   1   1   4.3e-54   6.5e-52  175.1   0.8    19   380   679  1055   668  1056 0.90 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 6857at5820           -            381   4.8e-52  175.6   0.0   1   2   1.8e-20   2.6e-18   64.5   0.0    12   175   584   756   580   765 0.87 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 6857at5820           -            381   4.8e-52  175.6   0.0   2   2   7.6e-34   1.1e-31  108.5   0.0   187   378   792   981   784   983 0.89 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 6857at5820           -            381   1.1e-48  164.4   2.9   1   1   9.6e-51   1.4e-48  164.1   2.9     4   372   141   514   138   523 0.91 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 6857at5820           -            381   1.6e-48  163.9   2.3   1   1   1.5e-50   2.3e-48  163.4   2.3     9   373   132   496   125   501 0.90 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 6857at5820           -            381   3.4e-48  162.9   0.5   1   1   3.9e-50   5.9e-48  162.1   0.5    17   362   633   996   613  1009 0.85 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 6857at5820           -            381   6.1e-43  145.6   3.8   1   1   7.8e-43   1.2e-40  138.1   3.8    12   360   107   496    97   512 0.80 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 6857at5820           -            381   2.3e-42  143.7   2.9   1   1   5.4e-41     8e-39  132.0   2.9    10   362   339   738   331   747 0.80 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 6857at5820           -            381     6e-40  135.7   0.3   1   1   1.5e-41   2.2e-39  133.9   0.3    10   364    59   434    56   441 0.86 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 6857at5820           -            381   4.1e-39  133.0   4.8   1   1   4.3e-41   6.5e-39  132.3   4.8     9   360   166   528   160   539 0.88 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 6857at5820           -            381   1.9e-37  127.5  12.0   1   1   1.9e-39   2.8e-37  126.9  12.0    10   363   135   503   127   520 0.83 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 6857at5820           -            381     2e-33  114.3   0.1   1   3   1.2e-22   1.7e-20   71.7   0.0    16   175   127   298   121   304 0.82 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 6857at5820           -            381     2e-33  114.3   0.1   2   3       3.3   4.9e+02   -2.2   0.0   180   205   351   376   349   388 0.75 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 6857at5820           -            381     2e-33  114.3   0.1   3   3   8.4e-13   1.3e-10   39.2   0.0   266   358   588   683   578   697 0.84 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 6857at5820           -            381   2.2e-32  110.9   6.8   1   3   1.1e-24   1.6e-22   78.3   0.3    10   209   104   317    96   325 0.79 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 6857at5820           -            381   2.2e-32  110.9   6.8   2   3     1e-11   1.6e-09   35.6   0.0   306   355   526   575   523   599 0.91 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 6857at5820           -            381   2.2e-32  110.9   6.8   3   3       3.4   5.1e+02   -2.3   0.7   198   243   613   662   602   686 0.71 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 6857at5820           -            381   7.5e-32  109.1   9.5   1   2   4.4e-05    0.0065   13.8   0.0    16    66   261   311   251   324 0.90 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 6857at5820           -            381   7.5e-32  109.1   9.5   2   2   8.6e-30   1.3e-27   95.2   7.3    78   358   378   660   372   679 0.84 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 6857at5820           -            381   6.2e-30  102.8   5.9   1   1   6.1e-32   9.1e-30  102.2   5.9    44   361   185   517   143   529 0.77 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 6857at5820           -            381   1.5e-27   95.0  15.4   1   4   3.9e-09   5.9e-07   27.1   0.0     9    72     2    65     1    75 0.93 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 6857at5820           -            381   1.5e-27   95.0  15.4   2   4       5.2   7.7e+02   -2.9   0.1     6    30   131   155   129   157 0.88 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 6857at5820           -            381   1.5e-27   95.0  15.4   3   4   7.1e-11   1.1e-08   32.9   2.5    54   212   306   471   299   497 0.82 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 6857at5820           -            381   1.5e-27   95.0  15.4   4   4   1.4e-13   2.1e-11   41.8   0.8   264   349   598   683   534   693 0.82 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 6857at5820           -            381   1.4e-26   91.8   3.5   1   2   2.9e-07   4.4e-05   21.0   0.1    26    67   149   190   140   197 0.91 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 6857at5820           -            381   1.4e-26   91.8   3.5   2   2   1.3e-22   1.9e-20   71.6   0.9    79   375   251   554   189   559 0.81 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 6857at5820           -            381   4.4e-26   90.1   7.9   1   2   3.3e-18     5e-16   57.0   2.4    19   193   250   449   241   474 0.74 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 6857at5820           -            381   4.4e-26   90.1   7.9   2   2   8.2e-12   1.2e-09   36.0   0.3   272   357   597   683   579   696 0.92 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 6857at5820           -            381   5.9e-23   79.8   6.1   1   4   1.4e-05     0.002   15.5   0.0     9    64    27    82    20   100 0.81 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 6857at5820           -            381   5.9e-23   79.8   6.1   2   4      0.38        57    0.9   0.0   113   143   226   257   184   267 0.74 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 6857at5820           -            381   5.9e-23   79.8   6.1   3   4    0.0003     0.044   11.1   0.0   149   193   285   330   272   357 0.84 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 6857at5820           -            381   5.9e-23   79.8   6.1   4   4   3.1e-16   4.7e-14   50.5   1.9   234   357   589   712   564   721 0.74 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 6857at5820           -            381   4.9e-19   66.9   9.3   1   3   0.00045     0.067   10.5   0.0     9    69    72   132    69   144 0.88 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 6857at5820           -            381   4.9e-19   66.9   9.3   2   3   0.00012     0.017   12.4   0.4   125   194   339   411   246   421 0.84 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 6857at5820           -            381   4.9e-19   66.9   9.3   3   3     2e-14     3e-12   44.6   2.8   260   352   566   661   540   681 0.83 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 6857at5820           -            381   2.3e-16   58.1   2.5   1   2   1.5e-18   2.3e-16   58.1   2.5    19   193   134   333   124   358 0.74 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 6857at5820           -            381   2.3e-16   58.1   2.5   2   2       2.7   4.1e+02   -2.0   0.1   273   306   482   516   470   519 0.79 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 6857at5820           -            381   7.4e-16   56.4   0.1   1   2       1.5   2.2e+02   -1.1   0.0    46   105   172   233   166   273 0.68 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 6857at5820           -            381   7.4e-16   56.4   0.1   2   2   2.6e-17   3.8e-15   54.1   0.0   246   367   508   628   498   637 0.90 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 6857at5820           -            381   2.6e-14   51.4   0.9   1   2       1.6   2.4e+02   -1.2   0.3    99   209    53   164    30   189 0.54 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099345.1-p1      -            738 6857at5820           -            381   2.6e-14   51.4   0.9   2   2   1.7e-16   2.6e-14   51.4   0.9   250   367   384   502   353   514 0.87 | transcript=PVX_099345.1 | gene=PVX_099345 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=Pv_Sal1_chr07:700527-702743(+) | protein_length=738 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6857at5820           -            381   7.8e-14   49.8   5.1   1   2   0.00089      0.13    9.5   0.3   119   169   427   480   415   495 0.77 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087820.1-p1      -           1051 6857at5820           -            381   7.8e-14   49.8   5.1   2   2   1.5e-13   2.2e-11   41.7   0.6   248   337   761   849   755   866 0.92 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
