#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   1  14   6.5e-23     4e-20   69.7   3.7     1    76     1    77     1    95 0.79 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2  12  14   2.7e-23   1.7e-20   71.0   6.2   868   934  2280  2350  2267  2368 0.86 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2  13  14   2.5e-58   1.5e-55  187.0   3.7   919  1054  2432  2580  2418  2584 0.85 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2  14  14   6.7e-87   4.1e-84  281.7  24.0  1055  1231  2625  2828  2621  2828 0.87 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 470at5820            -           1231   2.2e-12   44.1   9.1   1   2   3.6e-10   2.2e-07   27.5   0.3    80   150   876   947   837   955 0.80 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 470at5820            -           1231   2.2e-12   44.1   9.1   2   2   8.9e-08   5.5e-05   19.6   3.2    83   163  1885  1964  1847  1973 0.69 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 470at5820            -           1231   2.6e-12   43.8   3.1   1   3         9   5.5e+03   -7.4   4.1   615   647   165   198   114   228 0.42 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 470at5820            -           1231   2.6e-12   43.8   3.1   2   3     2e-11   1.2e-08   31.7   0.1    94   152   988  1045   898  1057 0.87 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 470at5820            -           1231   2.6e-12   43.8   3.1   3   3   7.7e-09   4.8e-06   23.1   0.5   103   154  1894  1946  1884  1957 0.88 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 470at5820            -           1231   6.1e-12   42.6  12.0   1   3   2.7e-10   1.6e-07   27.9   1.0    80   155  2784  2860  2773  2883 0.82 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 470at5820            -           1231   6.1e-12   42.6  12.0   2   3   2.8e-07   0.00017   17.9   2.3    87   155  3357  3423  3334  3446 0.80 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 470at5820            -           1231   6.1e-12   42.6  12.0   3   3     0.047        29    0.6   0.0   744   789  3924  3969  3878  3979 0.84 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   1   6      0.14        86   -1.0   0.1   127   148   247   268   241   291 0.75 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   2   6         9   5.5e+03  -42.5  58.0   844   974   617   743   599   757 0.36 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   3   6         9   5.5e+03  -19.7  26.8   818   956   768   910   754   934 0.69 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   4   6   7.1e-13   4.4e-10   36.5   9.0    50   153   936  1037   906  1046 0.81 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   5   6   8.8e-06    0.0054   13.0   0.1    90   158  1057  1120  1044  1125 0.87 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 470at5820            -           1231   1.1e-10   38.4  12.6   6   6   0.00063      0.39    6.8   3.4  1156  1225  1230  1299  1203  1303 0.83 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 470at5820            -           1231   1.3e-10   38.2   0.4   1   4         9   5.5e+03   -8.1  12.6   269   365   362   455   334   483 0.58 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 470at5820            -           1231   1.3e-10   38.2   0.4   2   4   2.2e-13   1.3e-10   38.2   0.4    85   151  1889  1954  1835  1964 0.75 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 470at5820            -           1231   1.3e-10   38.2   0.4   3   4       3.2     2e+03   -5.5   8.0   913   973  2258  2322  2232  2345 0.48 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 470at5820            -           1231   1.3e-10   38.2   0.4   4   4       1.1   6.5e+02   -3.9   0.8  1174  1214  2826  2871  2822  2874 0.72 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   1   7     0.026        16    1.5   0.1  1160  1216    76   133    59   154 0.78 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   2   7         9   5.5e+03  -18.5  22.2   833   976   165   322   149   340 0.49 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   3   7         9   5.5e+03  -13.7  18.9   861   962   263   365   240   388 0.61 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   4   7   1.8e-12   1.1e-09   35.1   7.8    31   155   340   469   327   475 0.62 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   5   7      0.33     2e+02   -2.2   0.6   838   951   481   587   476   615 0.74 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   6   7   1.1e-06   0.00068   15.9   0.4   106   179   620   689   612   694 0.81 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 470at5820            -           1231   2.2e-10   37.5  14.2   7   7     0.015       9.2    2.3  10.2     6   192   675   875   671   878 0.63 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 470at5820            -           1231   6.6e-10   35.9   8.3   1   2   3.2e-10   1.9e-07   27.7   0.7    66   154    15   104     6   116 0.82 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 470at5820            -           1231   6.6e-10   35.9   8.3   2   2   2.4e-05     0.015   11.5   1.6  1173  1220   788   835   737   841 0.81 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083040.1-p1      -           3849 470at5820            -           1231   1.6e-07   28.0  23.4   1   3    0.0044       2.7    4.0   0.4    83   152  2147  2222  2133  2236 0.77 | transcript=PVX_083040.1 | gene=PVX_083040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:484650-496199(+) | protein_length=3849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083040.1-p1      -           3849 470at5820            -           1231   1.6e-07   28.0  23.4   2   3   8.9e-05     0.055    9.6   0.1   105   152  3061  3109  3041  3128 0.89 | transcript=PVX_083040.1 | gene=PVX_083040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:484650-496199(+) | protein_length=3849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083040.1-p1      -           3849 470at5820            -           1231   1.6e-07   28.0  23.4   3   3     3e-08   1.8e-05   21.1  10.9    21   166  3679  3836  3661  3844 0.67 | transcript=PVX_083040.1 | gene=PVX_083040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:484650-496199(+) | protein_length=3849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/470at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:40 2026
# [ok]
