#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   1   6  1.7e-213  9.4e-211  700.5  31.7     5   361    64   447    60   450 0.93 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2950at5820           -            863   9.6e-40  134.7   9.5   4   5        10   5.5e+03  -10.0  10.6   684   784  1104  1203  1055  1230 0.52 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2950at5820           -            863   9.6e-40  134.7   9.5   5   5        10   5.5e+03  -21.5  22.6   682   826  1158  1308  1105  1352 0.40 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 2950at5820           -            863     1e-38  131.3  14.0   1   4   1.1e-08   6.2e-06   22.8   2.3    52   144   797   903   777   906 0.68 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 2950at5820           -            863     1e-38  131.3  14.0   2   4   3.6e-39     2e-36  123.7   4.1   180   416   906  1137   903  1151 0.83 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 2950at5820           -            863     1e-38  131.3  14.0   3   4     0.017       9.6    2.4   1.0   480   524  1153  1200  1147  1213 0.79 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 2950at5820           -            863     1e-38  131.3  14.0   4   4      0.48   2.6e+02   -2.4   4.6   482   534  1297  1350  1270  1475 0.85 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2950at5820           -            863   1.3e-38  130.9  29.1   1   4   4.1e-14   2.3e-11   40.8   8.5    53   196    27   172     9   180 0.67 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2950at5820           -            863   1.3e-38  130.9  29.1   2   4   1.1e-33   5.8e-31  105.6  12.6   199   442   229   469   226   483 0.79 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2950at5820           -            863   1.3e-38  130.9  29.1   3   4       1.7   9.5e+02   -4.2   3.3   562   652   486   580   482   646 0.50 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2950at5820           -            863   1.3e-38  130.9  29.1   4   4       1.2   6.6e+02   -3.7   3.7   690   759   818   887   804   929 0.70 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2950at5820           -            863   5.2e-30  102.5  13.1   1   5      0.27   1.5e+02   -1.6   0.1   739   774    30    65    14    77 0.81 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2950at5820           -            863   5.2e-30  102.5  13.1   2   5   2.3e-11   1.3e-08   31.7   1.6    63   147    59   149    37   153 0.75 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2950at5820           -            863   5.2e-30  102.5  13.1   3   5   1.4e-27     8e-25   85.3   4.1   180   423   154   381   148   393 0.89 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2950at5820           -            863   5.2e-30  102.5  13.1   4   5       1.4   7.9e+02   -4.0   3.1   675   745   452   522   439   531 0.70 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2950at5820           -            863   5.2e-30  102.5  13.1   5   5        10   5.5e+03   -7.9   7.3   589   655   916   982   904  1076 0.51 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 2950at5820           -            863   1.2e-26   91.4  18.2   1   3      0.53     3e+02   -2.6   0.0   494   530   180   217   172   227 0.71 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 2950at5820           -            863   1.2e-26   91.4  18.2   2   3   1.8e-07   9.9e-05   18.9   2.6    28   143   234   355   207   370 0.77 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 2950at5820           -            863   1.2e-26   91.4  18.2   3   3   1.6e-25   8.7e-23   78.6   6.7   202   416   648   854   638   874 0.87 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   1   6     4e-09   2.2e-06   24.3   6.1    89   150   214   273   128   277 0.70 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   2   6   1.3e-08   7.1e-06   22.6  10.8   178   289   275   408   269   418 0.77 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   3   6     2e-24   1.1e-21   74.9   0.5   298   422   498   612   459   638 0.91 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   4   6       9.7   5.4e+03   -6.7   5.9    11    74  1006  1070   997  1077 0.79 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   5   6        10   5.5e+03  -20.0  24.5   673   793  1419  1539  1394  1571 0.53 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2950at5820           -            863   3.1e-26   90.0  31.7   6   6      0.14        77   -0.6   1.0   459   530  1694  1766  1682  1770 0.75 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2950at5820           -            863   2.1e-19   67.4  38.3   1   4   3.8e-10   2.1e-07   27.7   6.4    71   144    30   108     1   114 0.62 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2950at5820           -            863   2.1e-19   67.4  38.3   2   4   3.2e-18   1.8e-15   54.4  23.9   178   438   115   395   109   410 0.74 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2950at5820           -            863   2.1e-19   67.4  38.3   3   4        10   5.5e+03   -9.5  14.6   722   815   414   509   403   538 0.51 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2950at5820           -            863   2.1e-19   67.4  38.3   4   4      0.14        78   -0.6   1.7   570   612   691   732   671   778 0.65 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 2950at5820           -            863   4.9e-13   46.3  12.9   1   2   2.1e-11   1.1e-08   31.9   0.5    91   154   109   180    70   197 0.76 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 2950at5820           -            863   4.9e-13   46.3  12.9   2   2   2.7e-07   0.00015   18.3   7.4   205   417   189   400   166   417 0.72 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2950at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2950at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2950at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:43 2026
# [ok]
