#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123240.1-p1      -            923 4079at5820           -            677         0 1224.2 132.2   1   4   5.3e-05    0.0074   12.8  20.0     1    84     1    82     1    94 0.63 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 4079at5820           -            677   1.9e-76  256.0  25.9   2   2   3.5e-56     5e-54  181.9   0.2   399   596   405   601   400   665 0.90 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 4079at5820           -            677   1.6e-71  239.7   7.5   1   2   6.8e-37   9.7e-35  118.1   0.5   132   375   616   846   595   850 0.83 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 4079at5820           -            677   1.6e-71  239.7   7.5   2   2   6.5e-42   9.2e-40  134.7   1.5   400   614   851  1072   848  1099 0.86 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 4079at5820           -            677   1.6e-70  236.4  10.5   1   1   1.1e-72   1.6e-70  236.4  10.5    76   597   509  1014   466  1015 0.80 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4079at5820           -            677   7.6e-58  194.5   3.4   1   3   3.2e-08   4.5e-06   23.4   0.0   182   242    22    80    12    91 0.85 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4079at5820           -            677   7.6e-58  194.5   3.4   2   3   2.9e-16   4.1e-14   50.0   0.1   277   373    94   190    85   195 0.93 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4079at5820           -            677   7.6e-58  194.5   3.4   3   3   7.3e-38     1e-35  121.3   0.2   400   580   197   376   187   389 0.93 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 4079at5820           -            677   2.4e-56  189.5   5.6   1   3   1.6e-10   2.2e-08   31.0   0.0   188   246   135   193   116   199 0.92 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 4079at5820           -            677   2.4e-56  189.5   5.6   2   3   5.5e-16   7.8e-14   49.0   0.2   277   372   203   299   196   304 0.94 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 4079at5820           -            677   2.4e-56  189.5   5.6   3   3   3.6e-34   5.1e-32  109.2   2.2   399   575   306   481   300   497 0.95 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 4079at5820           -            677   5.6e-50  168.5   0.4   1   1   1.1e-49   1.6e-47  160.4   0.4   206   577   147   513   126   526 0.86 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 4079at5820           -            677   5.5e-46  155.3   0.1   1   2     3e-07   4.2e-05   20.2   0.0   189   247    62   120    56   128 0.89 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 4079at5820           -            677   5.5e-46  155.3   0.1   2   2     2e-41   2.9e-39  133.1   0.0   277   583   129   436   120   442 0.89 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090175.1-p1      -            388 4079at5820           -            677   1.8e-43  147.0   2.2   1   2    0.0024      0.34    7.3   0.0   190   245    20    75     3    83 0.85 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090175.1-p1      -            388 4079at5820           -            677   1.8e-43  147.0   2.2   2   2     6e-40   8.5e-38  128.2   2.5   277   579    86   369    78   386 0.89 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 4079at5820           -            677   7.4e-43  145.0  18.8   1   2       8.6   1.2e+03   -4.5   4.1   625   673    11    58     3    68 0.56 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 4079at5820           -            677   7.4e-43  145.0  18.8   2   2   2.3e-43   3.2e-41  139.6   6.7   186   560   149   485   123   508 0.90 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 4079at5820           -            677   3.3e-42  142.8   5.6   1   1     1e-42   1.5e-40  137.4   2.6   192   573    66   443    42   463 0.84 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 4079at5820           -            677   5.1e-42  142.2   5.6   1   2   2.1e-06    0.0003   17.4   0.0   174   245    49   120    39   127 0.79 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 4079at5820           -            677   5.1e-42  142.2   5.6   2   2     6e-36   8.6e-34  115.0   4.0   278   579   132   413   127   426 0.91 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4079at5820           -            677   2.3e-39  133.4  23.6   1   3   2.2e-05    0.0031   14.0   0.6   173   247   244   316   131   332 0.78 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4079at5820           -            677   2.3e-39  133.4  23.6   2   3   1.1e-15   1.6e-13   48.0   1.5   277   375   380   477   376   485 0.95 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4079at5820           -            677   2.3e-39  133.4  23.6   3   3   8.6e-26   1.2e-23   81.5   7.8   404   645   486   734   478   752 0.79 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 4079at5820           -            677   3.8e-39  132.7  12.1   1   1   2.7e-41   3.8e-39  132.7  12.1   197   585   116   500    92   511 0.83 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 4079at5820           -            677   1.1e-32  111.3  17.4   1   2   8.1e-35   1.1e-32  111.3  17.4   200   665   182   615   167   624 0.82 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 4079at5820           -            677   1.1e-32  111.3  17.4   2   2         4   5.7e+02   -3.4   1.3    53    92   855   894   837   907 0.68 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 4079at5820           -            677   2.9e-30  103.4   0.3   1   2   2.7e-23   3.8e-21   73.2   0.6   185   373   120   298   117   303 0.85 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 4079at5820           -            677   2.9e-30  103.4   0.3   2   2   3.6e-09   5.1e-07   26.5   0.0   493   563   598   671   589   682 0.87 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 4079at5820           -            677   6.4e-27   92.3   1.4   1   2   9.8e-06    0.0014   15.2   0.0   205   248   152   195   138   210 0.85 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 4079at5820           -            677   6.4e-27   92.3   1.4   2   2   9.1e-22   1.3e-19   68.2   0.9   277   593   252   555   245   561 0.76 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 4079at5820           -            677   3.7e-26   89.8  14.8   1   2   6.7e-14   9.5e-12   42.2   4.8   202   373   164   323   146   329 0.83 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 4079at5820           -            677   3.7e-26   89.8  14.8   2   2   8.7e-15   1.2e-12   45.1   2.5   400   577   330   516   323   557 0.84 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 4079at5820           -            677   3.1e-25   86.7   7.2   1   2   5.4e-20   7.7e-18   62.3   1.7   190   374   245   425   203   436 0.82 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 4079at5820           -            677   3.1e-25   86.7   7.2   2   2   3.9e-12   5.5e-10   36.3   0.3   487   580   595   689   568   735 0.91 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 4079at5820           -            677   1.9e-23   80.8  20.1   1   2   0.00015     0.022   11.2   2.2   147   247   334   435   323   443 0.79 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 4079at5820           -            677   1.9e-23   80.8  20.1   2   2   4.6e-20   6.5e-18   62.5   9.9   278   571   445   754   433   763 0.78 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4079at5820           -            677   1.1e-21   75.0  23.9   1   4    0.0013      0.19    8.1   0.0   190   242     7    59     2    74 0.84 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4079at5820           -            677   1.1e-21   75.0  23.9   2   4       1.4     2e+02   -1.8   1.6   437   653   172   224   151   238 0.49 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4079at5820           -            677   1.1e-21   75.0  23.9   3   4   8.1e-09   1.1e-06   25.4   0.1   276   363   331   421   324   438 0.83 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4079at5820           -            677   1.1e-21   75.0  23.9   4   4   3.3e-16   4.6e-14   49.8   8.9   484   563   601   680   489   705 0.74 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 4079at5820           -            677   2.6e-19   67.1   1.5   1   2     3e-20   4.3e-18   63.1   2.0   190   374   129   309    90   320 0.83 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 4079at5820           -            677   2.6e-19   67.1   1.5   2   2       0.2        29    0.9   0.0   487   524   479   517   456   530 0.88 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4079at5820           -            677   3.6e-19   66.7   5.8   1   3     6e-06   0.00085   15.9   0.2   156   248   111   205    93   227 0.83 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4079at5820           -            677   3.6e-19   66.7   5.8   2   3      0.61        87   -0.7   0.0   323   361   502   540   493   552 0.90 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
