#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124100.1-p1      -            544 4738at5820           -            464  5.4e-279  923.8  26.3   1   2   5.1e-84   3.5e-81  271.5   0.5     1   136     1   140     1   151 0.95 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4738at5820           -            464   1.4e-41  141.0  24.5   1   2   3.8e-16   2.6e-13   47.8   0.7    22   140    24   142    10   161 0.83 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4738at5820           -            464   1.4e-41  141.0  24.5   2   2   7.6e-31   5.2e-28   96.2  19.3   125   458   153   523   123   526 0.75 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4738at5820           -            464   1.1e-36  124.8  19.1   1   2     3e-22   2.1e-19   67.9   0.6    22   131    17   130     3   145 0.87 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4738at5820           -            464   1.1e-36  124.8  19.1   2   2   3.8e-20   2.6e-17   61.0  11.9   155   459   187   534   169   538 0.73 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4738at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:47 2026
# [ok]
