#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091960.1-p1      -             86 14966at5820          -             76   4.5e-55  182.1   0.8   1   1   1.2e-57   5.1e-55  181.9   0.8     1    76     5    80     5    80 0.99 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088885.1-p1      -             95 14966at5820          -             76     0.012   14.2   0.3   1   1   3.8e-05     0.016   13.7   0.3    20    73    16    71     4    75 0.77 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080400.1-p1      -            165 14966at5820          -             76     0.025   13.1   0.0   1   1    0.0001     0.043   12.3   0.0    26    68    98   139    88   146 0.82 | transcript=PVX_080400.1 | gene=PVX_080400 | organism=Plasmodium_vivax_Sal-1 | gene_product=60S ribosomal protein L12, putative | transcript_product=60S ribosomal protein L12, putative | location=Pv_Sal1_chr10:634625-635616(+) | protein_length=165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14966at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:47 2026
# [ok]
