#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114825.1-p1      -            288 8961at5820           -            243  2.2e-153  506.9   0.1   1   1  2.7e-155  2.6e-153  506.7   0.1     1   243    17   285    17   285 0.96 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 8961at5820           -            243   2.2e-22   77.9   0.2   1   1   5.1e-24   4.8e-22   76.8   0.1     9   194    52   264    44   271 0.73 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 8961at5820           -            243   2.7e-21   74.3   1.5   1   1   1.9e-22   1.8e-20   71.7   1.5     3   239  1550  1783  1548  1787 0.79 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 8961at5820           -            243   2.4e-20   71.2   1.9   1   1   2.6e-22   2.4e-20   71.2   1.9    21   176   522   680   507   696 0.86 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 8961at5820           -            243   9.2e-19   66.1   0.1   1   1   6.5e-20   6.1e-18   63.4   0.1    17   186   191   365   171   414 0.74 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 8961at5820           -            243   1.5e-18   65.4   2.0   1   1   1.6e-19   1.5e-17   62.1   2.0    21   177    55   244    34   263 0.76 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092985.1-p1      -           1423 8961at5820           -            243   5.7e-17   60.2   0.4   1   1   6.1e-19   5.7e-17   60.2   0.4    22   172  1196  1352  1177  1365 0.82 | transcript=PVX_092985.1 | gene=PVX_092985 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr09:1903094-1907365(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 8961at5820           -            243   1.7e-16   58.6   0.2   1   1   2.3e-18   2.2e-16   58.3   0.2     2   198    26   235    25   265 0.77 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 8961at5820           -            243   4.4e-16   57.3   0.7   1   1     6e-18   5.6e-16   56.9   0.7    20   193    42   222    22   273 0.79 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 8961at5820           -            243   5.9e-16   56.9   2.4   1   1   1.2e-17   1.1e-15   56.0   2.4    14   184  1198  1371  1186  1381 0.82 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 8961at5820           -            243   3.3e-15   54.4   2.9   1   2       2.1   1.9e+02   -0.5   0.0    23    50   845   872   837   889 0.73 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 8961at5820           -            243   3.3e-15   54.4   2.9   2   2   1.6e-16   1.5e-14   52.2   0.6    77   239  1163  1360  1127  1364 0.76 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 8961at5820           -            243   5.3e-15   53.7   0.2   1   1   8.7e-17   8.2e-15   53.1   0.2     9   184   133   314   126   340 0.81 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8961at5820           -            243   5.6e-15   53.7   0.1   1   1   1.6e-16   1.5e-14   52.2   0.0    77   201   639   762   573   771 0.78 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 8961at5820           -            243   1.1e-14   52.7   7.9   1   2   3.5e-16   3.3e-14   51.1   1.0    33   124    92   186    51   197 0.85 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 8961at5820           -            243   1.1e-14   52.7   7.9   2   2     0.037       3.5    5.2   0.0   147   179   358   389   335   401 0.76 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 8961at5820           -            243   7.4e-14   50.0   1.2   1   1   1.5e-15   1.4e-13   49.1   1.2    27   188    87   261    63   300 0.79 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 8961at5820           -            243   8.8e-14   49.7   0.1   1   2   2.6e-15   2.4e-13   48.3   0.0    23   184   472   635   445   644 0.76 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 8961at5820           -            243   8.8e-14   49.7   0.1   2   2         9   8.4e+02   -2.6   0.0   214   237   648   671   639   674 0.79 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 8961at5820           -            243   1.6e-13   48.9   0.7   1   2   2.1e-08   1.9e-06   25.7   0.3    37   114   918   999   904  1009 0.79 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 8961at5820           -            243   1.6e-13   48.9   0.7   2   2   7.9e-07   7.4e-05   20.5   0.0   132   177  1100  1144  1079  1160 0.82 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 8961at5820           -            243   1.9e-13   48.7   0.0   1   1   2.9e-15   2.8e-13   48.1   0.0    27   182    79   246    60   259 0.81 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 8961at5820           -            243   6.4e-13   46.9   0.5   1   1   1.2e-14   1.1e-12   46.2   0.5    24   188  1383  1558  1353  1571 0.78 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 8961at5820           -            243   7.8e-13   46.6   0.8   1   1   2.4e-13   2.2e-11   41.9   0.8    27   172   167   337   146   348 0.76 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 8961at5820           -            243   2.2e-12   45.2   0.9   1   1   3.7e-14   3.5e-12   44.5   0.9    26   172  1746  1896  1717  1920 0.75 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 8961at5820           -            243   6.8e-12   43.6   4.0   1   1   2.3e-13   2.2e-11   41.9   4.0    24   184    67   229    35   275 0.76 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 8961at5820           -            243   8.2e-12   43.3   0.2   1   1   1.6e-13   1.5e-11   42.5   0.2    34   189  1241  1399  1208  1416 0.82 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 8961at5820           -            243   1.9e-11   42.1   0.5   1   1   3.1e-13   2.9e-11   41.5   0.5    20   179   493   659   471   689 0.74 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 8961at5820           -            243   4.6e-11   40.9   0.2   1   1   1.3e-12   1.2e-10   39.4   0.2    23   194    76   245    60   259 0.72 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 8961at5820           -            243   1.5e-10   39.1   3.0   1   2   3.7e-08   3.5e-06   24.9   1.6    30   109   318   400   299   411 0.81 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 8961at5820           -            243   1.5e-10   39.1   3.0   2   2   0.00016     0.015   13.0   0.0   130   176   527   572   519   626 0.84 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
