#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114975.1-p1      -            181 13688at5820          -            142   6.6e-88  290.4  11.0   1   1   3.5e-90   8.1e-88  290.1  11.0     1   142    26   176    26   176 0.97 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13688at5820          -            142   2.9e-06   25.7   5.7   2   4   1.4e-07   3.2e-05   22.4   1.6    25   110   363   447   348   478 0.79 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13688at5820          -            142   2.9e-06   25.7   5.7   3   4       3.6   8.2e+02   -1.7   0.7    43    93   477   528   453   534 0.56 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13688at5820          -            142   2.9e-06   25.7   5.7   4   4   5.2e-05     0.012   14.0   0.1    11    99   649   738   645   752 0.85 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092560.1-p1      -           1836 13688at5820          -            142   4.2e-06   25.2   0.4   1   1   1.2e-07   2.7e-05   22.6   0.1    23    99  1019  1097  1008  1113 0.81 | transcript=PVX_092560.1 | gene=PVX_092560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1504872-1510382(+) | protein_length=1836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13688at5820          -            142   5.4e-06   24.9   5.1   1   3      0.09        21    3.5   0.1    26    84    87   145    76   165 0.81 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13688at5820          -            142   5.4e-06   24.9   5.1   2   3   4.2e-06   0.00097   17.6   0.8    17   106   176   267   162   286 0.82 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13688at5820          -            142   5.4e-06   24.9   5.1   3   3   4.5e-06     0.001   17.5   0.2    27   103   400   476   395   500 0.83 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 13688at5820          -            142   7.4e-06   24.4   1.6   1   2   3.2e-08   7.4e-06   24.4   1.6    22   104    86   169    75   199 0.83 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 13688at5820          -            142   7.4e-06   24.4   1.6   2   2       6.4   1.5e+03   -2.5   0.4   120   139   240   259   229   295 0.65 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 13688at5820          -            142   1.3e-05   23.7   2.3   1   2   5.9e-08   1.4e-05   23.6   0.0    19    99    30   110    18   123 0.89 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 13688at5820          -            142   1.3e-05   23.7   2.3   2   2       4.2   9.8e+02   -1.9   1.1    90   112   215   237   181   257 0.70 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13688at5820          -            142   2.4e-05   22.8   3.9   1   2     0.018       4.3    5.8   0.0    54    84   116   145    87   161 0.71 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13688at5820          -            142   2.4e-05   22.8   3.9   2   2   1.1e-05    0.0026   16.2   2.5    25   122   170   270   159   283 0.70 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 13688at5820          -            142   4.1e-05   22.0   1.5   1   3   7.2e-06    0.0017   16.8   0.0    24    93     7    74     2    86 0.84 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 13688at5820          -            142   4.1e-05   22.0   1.5   2   3     0.084        19    3.6   0.0    66    89   144   167   137   192 0.76 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 13688at5820          -            142   4.1e-05   22.0   1.5   3   3       7.9   1.8e+03   -2.8   0.4    42    61   265   284   245   296 0.60 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 13688at5820          -            142   0.00015   20.2   2.5   1   2      0.39        89    1.5   0.3    55    99    59   102    32   128 0.66 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 13688at5820          -            142   0.00015   20.2   2.5   2   2   3.9e-06   0.00091   17.7   0.1    23   100   129   207   116   215 0.81 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 13688at5820          -            142   0.00016   20.1   0.0   1   1     7e-07   0.00016   20.1   0.0    32    95    19    83     8   104 0.80 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13688at5820          -            142   0.00026   19.4   0.6   1   3       2.5   5.7e+02   -1.1   0.0    70   112   445   489   409   509 0.69 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13688at5820          -            142   0.00026   19.4   0.6   2   3      0.14        32    2.9   0.0    28   119   553   647   543   661 0.73 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13688at5820          -            142   0.00026   19.4   0.6   3   3   0.00013     0.031   12.7   0.1    27   101   670   743   665   746 0.85 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 13688at5820          -            142   0.00036   19.0   1.2   1   1   1.7e-06    0.0004   18.8   1.2    29   120    12   101     3   119 0.77 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 13688at5820          -            142   0.00063   18.2   0.5   1   2   0.00059      0.14   10.6   0.3    28   109    13    95     5   109 0.74 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 13688at5820          -            142   0.00063   18.2   0.5   2   2     0.014       3.3    6.1   0.0    22    57   117   152   105   178 0.86 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 13688at5820          -            142     0.001   17.5   2.3   1   1   6.5e-06    0.0015   16.9   0.5    20   110    23   113    14   126 0.83 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 13688at5820          -            142    0.0016   16.9   0.1   1   1   9.9e-06    0.0023   16.4   0.1    23    98    33   108    15   118 0.85 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 13688at5820          -            142    0.0023   16.3   0.0   1   1   1.2e-05    0.0029   16.0   0.0    27    99    16    85     6   109 0.78 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 13688at5820          -            142    0.0025   16.3   0.0   1   1   1.7e-05    0.0039   15.6   0.0    21   100    67   145    54   157 0.88 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13688at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:06 2026
# [ok]
