#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091905.1-p1      -            588 5407at5820           -            457  8.1e-251  830.7  24.5   1   1  3.3e-253  2.3e-250  829.2  24.5     2   457     3   500     2   500 0.94 | transcript=PVX_091905.1 | gene=PVX_091905 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:934926-937683(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 5407at5820           -            457   2.3e-08   31.5   2.1   3   3   2.5e-09   1.7e-06   25.3   0.4   232   322  1446  1534  1428  1545 0.84 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 5407at5820           -            457   0.00076   16.5   0.6   1   3      0.17   1.2e+02   -0.5   0.1   162   196   545   580   494   588 0.47 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 5407at5820           -            457   0.00076   16.5   0.6   2   3      0.01         7    3.5   0.0   211   250   615   657   611   678 0.78 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 5407at5820           -            457   0.00076   16.5   0.6   3   3    0.0002      0.14    9.1   0.2   264   324   771   828   753   866 0.79 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5407at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:41 2026
# [ok]
