#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   1   7   0.00026      0.13    8.5   0.0     7    36    40    73    36    85 0.79 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1087at5820           -            852   1.5e-56  190.3  20.5   1   3   2.9e-59   1.5e-56  190.3  20.5   253   734    93   610    26   628 0.78 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1087at5820           -            852   1.5e-56  190.3  20.5   2   3      0.88   4.4e+02   -3.2   1.4   147   187   668   709   592   736 0.47 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1087at5820           -            852   1.5e-56  190.3  20.5   3   3       5.7   2.9e+03   -5.9   3.1   717   750   846   879   838   894 0.46 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1087at5820           -            852   4.4e-51  172.1  11.1   1   3   8.8e-54   4.4e-51  172.1  11.1   169   547     5   374     1   379 0.87 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1087at5820           -            852   4.4e-51  172.1  11.1   2   3      0.83   4.2e+02   -3.1   0.4    75   115   832   872   825   884 0.82 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1087at5820           -            852   4.4e-51  172.1  11.1   3   3       3.1   1.6e+03   -5.0   2.5    16   669   938   971   891  1012 0.43 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1087at5820           -            852   1.1e-46  157.6  25.3   1   4   6.5e-24   3.3e-21   73.3  13.0   206   424   163   409    65   423 0.77 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1087at5820           -            852   1.1e-46  157.6  25.3   2   4   2.8e-32   1.4e-29  101.0   4.4   424   576   483   640   463   682 0.79 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1087at5820           -            852   1.1e-46  157.6  25.3   3   4       3.9     2e+03   -5.3   3.6   640   672  1040  1072  1004  1078 0.52 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1087at5820           -            852   1.1e-46  157.6  25.3   4   4       3.4   1.7e+03   -5.1   5.0   655   717  1700  1761  1691  1771 0.76 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1087at5820           -            852   2.6e-38  129.9  24.1   1   3   1.6e-11   7.9e-09   32.4   5.6   156   322   207   362    93   371 0.66 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1087at5820           -            852   2.6e-38  129.9  24.1   2   3     2e-34     1e-31  108.1   4.2   331   547   642   854   636   880 0.89 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1087at5820           -            852   2.6e-38  129.9  24.1   3   3      0.49   2.5e+02   -2.4   0.4   701   725  1759  1783  1746  1786 0.83 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1087at5820           -            852   7.3e-35  118.5  47.2   1   4     5e-12   2.5e-09   34.0   7.3   166   312    71   215    38   228 0.84 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1087at5820           -            852   7.3e-35  118.5  47.2   2   4   5.4e-21   2.7e-18   63.7   3.8   337   484   288   433   270   442 0.88 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1087at5820           -            852   7.3e-35  118.5  47.2   3   4   7.9e-16   3.9e-13   46.6   0.2   494   547   516   569   509   616 0.80 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1087at5820           -            852   7.3e-35  118.5  47.2   4   4     0.049        24    1.0   1.2   563   609   644   692   639   703 0.72 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1087at5820           -            852   7.2e-28   95.3  20.6   1   3   1.4e-30   7.2e-28   95.3  20.6   256   554    52   382    33   387 0.74 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1087at5820           -            852   7.2e-28   95.3  20.6   2   3   0.00087      0.44    6.7   2.9    41   192   463   621   438   649 0.76 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1087at5820           -            852   7.2e-28   95.3  20.6   3   3       1.7   8.6e+02   -4.2   1.1   129   148   688   707   672   744 0.46 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1087at5820           -            852   3.8e-20   69.8   3.6   1   2   7.5e-23   3.8e-20   69.8   3.6   249   546    98   398    64   409 0.75 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1087at5820           -            852   3.8e-20   69.8   3.6   2   2       1.6     8e+02   -4.1   3.4   608   675   486   554   477   561 0.68 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115265.1-p1      -            128 1087at5820           -            852    0.0014   15.0   7.2   1   1   2.9e-06    0.0015   14.9   7.2   611   701    11   106     1   125 0.82 | transcript=PVX_115265.1 | gene=PVX_115265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:201622-202205(-) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1087at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1087at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1087at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:38 2026
# [ok]
