#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094535.1-p1      -            250 12423at5820          -            183  4.1e-108  357.4  23.9   1   2   1.5e-71   2.9e-69  230.8   7.3     1   116    16   136    16   141 0.97 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 12423at5820          -            183   1.8e-10   39.2   0.1   2   2   3.2e-08   6.3e-06   24.4   0.0     5    81   106   182   102   207 0.85 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 12423at5820          -            183   3.2e-10   38.3   0.0   1   2   5.8e-05     0.011   13.7   0.0     2    67     3    68     2    78 0.91 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 12423at5820          -            183   3.2e-10   38.3   0.0   2   2   1.2e-07   2.3e-05   22.5   0.0     5    67   154   216   151   236 0.90 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 12423at5820          -            183   1.8e-09   35.9   2.3   1   3     0.088        17    3.4   0.1    76   146    40   113    11   155 0.57 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 12423at5820          -            183   1.8e-09   35.9   2.3   2   3   3.5e-08   6.8e-06   24.2   0.0     6    68   184   246   179   272 0.90 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 12423at5820          -            183   1.8e-09   35.9   2.3   3   3     0.013       2.5    6.1   0.0    20    81   412   474   393   503 0.67 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 12423at5820          -            183   1.4e-08   33.0   0.7   1   2   9.1e-05     0.018   13.1   0.0     6    75    87   159    82   163 0.81 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 12423at5820          -            183   1.4e-08   33.0   0.7   2   2   3.8e-06   0.00075   17.6   0.9     7   111   171   269   165   287 0.78 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089730.1-p1      -            236 12423at5820          -            183   4.2e-08   31.4   0.1   1   1   2.1e-10   4.2e-08   31.4   0.1     7   108    35   136    31   151 0.78 | transcript=PVX_089730.1 | gene=PVX_089730 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear cap-binding protein, putative | transcript_product=nuclear cap-binding protein, putative | location=Pv_Sal1_chr05:792111-792955(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 12423at5820          -            183   5.5e-08   31.1   0.8   1   1     3e-09   5.9e-07   27.7   0.5     4   165     6   165     3   179 0.78 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 12423at5820          -            183   8.3e-08   30.5   0.4   1   3     0.026       5.1    5.1   2.1    80   141    18    81     7   125 0.79 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 12423at5820          -            183   8.3e-08   30.5   0.4   2   3   8.3e-05     0.016   13.2   0.1   102   150   171   219   130   225 0.82 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 12423at5820          -            183   8.3e-08   30.5   0.4   3   3     1e-07     2e-05   22.7   0.0     3    78   185   261   183   268 0.90 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 12423at5820          -            183   2.4e-07   29.0   6.1   1   3   0.00017     0.033   12.2   0.1     7    77    96   166    91   197 0.89 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 12423at5820          -            183   2.4e-07   29.0   6.1   2   3   9.6e-05     0.019   13.0   0.8    94   150   279   334   235   340 0.81 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 12423at5820          -            183   2.4e-07   29.0   6.1   3   3     0.022       4.4    5.3   0.0    39    85   340   385   334   393 0.81 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 12423at5820          -            183   5.2e-07   27.9   0.6   1   2   3.8e-06   0.00075   17.6   0.0     8   180    10    76     4    79 0.50 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 12423at5820          -            183   5.2e-07   27.9   0.6   2   2   1.1e-05    0.0022   16.1   0.3     8   117   112   216   105   237 0.67 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 12423at5820          -            183     3e-06   25.4   1.0   1   1   1.5e-08     3e-06   25.4   1.0     6    90    61   145    56   151 0.90 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114975.1-p1      -            181 12423at5820          -            183     6e-06   24.4   2.4   1   1   4.5e-08   8.9e-06   23.9   2.4     2   117    46   167    45   179 0.81 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 12423at5820          -            183   8.5e-06   23.9   0.0   1   3      0.31        61    1.6   0.0   118   146    15    43    10    93 0.88 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 12423at5820          -            183   8.5e-06   23.9   0.0   2   3       2.7   5.3e+02   -1.5   0.0   112   133   376   397   342   402 0.83 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 12423at5820          -            183   8.5e-06   23.9   0.0   3   3   1.7e-06   0.00034   18.7   0.0     5    87   421   503   418   505 0.87 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 12423at5820          -            183   1.2e-05   23.5   0.0   1   1   1.4e-07   2.8e-05   22.2   0.0     7    78     8    80     2    96 0.85 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 12423at5820          -            183   2.6e-05   22.4   0.0   1   1   1.7e-07   3.4e-05   22.0   0.0   120   180    15    82     3    85 0.74 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 12423at5820          -            183   6.9e-05   21.0   0.1   1   2   3.5e-07   6.9e-05   21.0   0.1     8    83   100   175    95   186 0.93 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 12423at5820          -            183   6.9e-05   21.0   0.1   2   2       4.8   9.5e+02   -2.3   0.1    89   113   368   393   356   401 0.63 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 12423at5820          -            183   7.5e-05   20.9   0.2   1   2      0.31        62    1.6   0.0     8    57   120   170   113   198 0.65 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 12423at5820          -            183   7.5e-05   20.9   0.2   2   2   6.5e-06    0.0013   16.8   0.1     7    82   203   277   196   298 0.80 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 12423at5820          -            183   8.8e-05   20.6   0.2   1   1   1.9e-06   0.00037   18.6   0.2     4   103     4   107     2   135 0.76 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 12423at5820          -            183   0.00011   20.3   1.3   1   5       9.1   1.8e+03   -3.2   4.1    84   113    39    69    21    76 0.65 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 12423at5820          -            183   0.00011   20.3   1.3   2   5    0.0031      0.62    8.1   1.2    98   157   287   346   251   374 0.79 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 12423at5820          -            183   0.00011   20.3   1.3   3   5   5.5e-07   0.00011   20.3   1.3    98   181   390   482   346   484 0.74 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 12423at5820          -            183   0.00011   20.3   1.3   4   5     0.032       6.3    4.8  14.2     5    79   412   484   408   579 0.62 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 12423at5820          -            183   0.00011   20.3   1.3   5   5       4.4   8.8e+02   -2.2   3.0    60   116   699   758   670   774 0.67 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122685.1-p1      -            291 12423at5820          -            183   0.00012   20.2   0.8   1   1   1.2e-06   0.00024   19.2   0.8    11    85    99   173    91   265 0.87 | transcript=PVX_122685.1 | gene=PVX_122685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:794062-795679(-) | protein_length=291 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 12423at5820          -            183   0.00013   20.1   0.7   1   3     0.083        16    3.5   0.0    10    73   407   468   399   494 0.74 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
