#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001025.1-p1      -            353 7798at5820           -            253  2.7e-109  362.8  22.5   1   1    1e-111  6.4e-109  361.5  22.5     8   252    55   345    34   346 0.86 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   2   7     9e-05     0.055   11.2   0.5   105   192   481   566   453   584 0.82 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   3   7      0.22   1.4e+02    0.1   0.0   138   187   657   705   652   722 0.68 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   4   7   3.6e-06    0.0022   15.8   2.6    97   243   820   966   806   970 0.74 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   5   7   2.5e-14   1.5e-11   42.5   9.5    64   244  1136  1330  1121  1338 0.71 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   6   7     1e-08   6.2e-06   24.1   6.1   146   248  1620  1724  1536  1728 0.82 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   7   7   1.2e-12   7.4e-10   37.0   2.7    64   197  1988  2127  1945  2170 0.79 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 7798at5820           -            253   1.1e-20   72.5  10.2   1   1   3.1e-23   1.9e-20   71.7  10.2    16   243    28   280    17   288 0.75 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 7798at5820           -            253   1.7e-13   48.9   3.6   1   2    0.0082         5    4.8   2.5    30   127    40   132    23   156 0.82 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 7798at5820           -            253   1.7e-13   48.9   3.6   2   2   2.8e-16   1.7e-13   48.9   3.6   111   244   223   356   221   362 0.75 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001015.1-p1      -            372 7798at5820           -            253   1.8e-11   42.3  16.0   1   1   2.9e-13   1.8e-10   39.0  16.0    30   243    43   284    12   293 0.73 | transcript=PVX_001015.1 | gene=PVX_001015 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Pv_Sal1_chr03:99481-100599(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 7798at5820           -            253   3.3e-10   38.2  12.5   1   2     5e-10     3e-07   28.4   8.6    36   193    57   219    42   233 0.79 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 7798at5820           -            253   3.3e-10   38.2  12.5   2   2     8e-05     0.049   11.4   0.1    76   157   249   329   242   334 0.83 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 7798at5820           -            253   8.2e-08   30.3  10.1   1   2   7.2e-05     0.044   11.5   1.6   132   196    22    88    13   168 0.85 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 7798at5820           -            253   8.2e-08   30.3  10.1   2   2   1.9e-07   0.00012   19.9   4.0   133   189   192   255   131   304 0.79 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 7798at5820           -            253   6.2e-05   20.9   3.9   1   3     0.031        19    2.9   0.6   155   243    50   147    28   153 0.57 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 7798at5820           -            253   6.2e-05   20.9   3.9   2   3     0.039        24    2.6   2.3    95   144   131   188   103   252 0.60 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 7798at5820           -            253   6.2e-05   20.9   3.9   3   3     1e-07   6.2e-05   20.9   3.9    67   192   221   343   202   397 0.73 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7798at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:51 2026
# [ok]
