#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117065.1-p1      -           1668 1067at5820           -            869         0 1622.9 111.4   1   9  1.5e-169  4.2e-166  553.3  19.9     1   272     1   273     1   281 0.98 | transcript=PVX_117065.1 | gene=PVX_117065 | organism=Plasmodium_vivax_Sal-1 | gene_product=TLD domain-containing protein | transcript_product=TLD domain-containing protein | location=Pv_Sal1_chr12:1528154-1533936(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091355.1-p1      -            372 1067at5820           -            869    0.0096   12.8  17.2   3   3   1.3e-05     0.036   10.9   7.8   499   669   179   348   157   365 0.78 | transcript=PVX_091355.1 | gene=PVX_091355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:449909-452898(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:57 2026
# [ok]
