#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097625.1-p1      -            487 8505at5820           -            437  7.5e-182  603.1  70.0   1   1  1.6e-183  9.1e-181  599.6  70.0     1   437     1   487     1   487 0.89 | transcript=PVX_097625.1 | gene=PVX_097625 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 8, putative | transcript_product=merozoite surface protein 8, putative | location=Pv_Sal1_chr10:1290568-1292031(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   4   6        10   5.5e+03   -8.1  25.8    74   231  1058  1242   992  1260 0.56 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   5   6        10   5.5e+03  -11.6  26.6    69   205  1496  1633  1448  1639 0.70 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   6   6   8.5e-17   4.7e-14   50.2   6.2   328   434  1642  1749  1633  1751 0.89 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086272.1-p1      -            358 8505at5820           -            437   1.9e-05   21.8  12.7   1   1   7.1e-08   3.9e-05   20.8  12.7   337   435   252   358   235   358 0.80 | transcript=PVX_086272.1 | gene=PVX_086272 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1963729-1964805(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082765.1-p1      -            139 8505at5820           -            437   4.4e-05   20.6  19.8   1   1   8.4e-08   4.6e-05   20.6  19.8     5   100     5   135     1   139 0.79 | transcript=PVX_082765.1 | gene=PVX_082765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:713180-713599(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 8505at5820           -            437      0.34    7.8  16.1   1   1   0.00059      0.33    7.9  16.1    37    94   101   152    38   158 0.51 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083020.1-p1      -            384 8505at5820           -            437      0.77    6.7  22.9   1   2   0.00027      0.15    9.0  13.9    35    91    93   150    54   188 0.50 | transcript=PVX_083020.1 | gene=PVX_083020 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=Pv_Sal1_chr12:512034-513411(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083020.1-p1      -            384 8505at5820           -            437      0.77    6.7  22.9   2   2     0.019        11    2.9   1.6    61    85   204   232   189   270 0.64 | transcript=PVX_083020.1 | gene=PVX_083020 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=Pv_Sal1_chr12:512034-513411(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115355.1-p1      -            250 8505at5820           -            437       3.6    4.4  21.8   1   2       1.1     6e+02   -2.9  17.9    50   151    95   199     9   202 0.59 | transcript=PVX_115355.1 | gene=PVX_115355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:125696-126448(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115355.1-p1      -            250 8505at5820           -            437       3.6    4.4  21.8   2   2   0.00012     0.065   10.2   2.5   265   309   193   237   176   248 0.83 | transcript=PVX_115355.1 | gene=PVX_115355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:125696-126448(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 8505at5820           -            437       5.4    3.9  19.7   1   1     0.011         6    3.7  19.7    17   101    11    92     3   114 0.58 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:21 2026
# [ok]
