#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082820.1-p1      -            563 4925at5820           -            472    1e-292  969.2  37.4   1   2   1.1e-18   8.7e-17   59.4   2.7     1    47    32    79    32    87 0.89 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 4925at5820           -            472   5.8e-33  112.7   4.0   1   1   8.4e-35   6.8e-33  112.5   4.0    61   306    37   290     6   321 0.84 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 4925at5820           -            472   1.9e-32  111.0  20.6   1   1   2.7e-34   2.2e-32  110.8  20.6    22   305     5   310     1   357 0.75 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 4925at5820           -            472   1.6e-31  107.9   0.3   1   1   2.6e-33   2.1e-31  107.5   0.3    63   307    38   306    23   320 0.84 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 4925at5820           -            472   1.7e-30  104.5   7.3   1   2   2.6e-32   2.1e-30  104.2   4.5    61   260   271   481   253   486 0.86 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 4925at5820           -            472   1.7e-30  104.5   7.3   2   2      0.74        60    0.5   0.0   276   307   537   572   498   580 0.71 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 4925at5820           -            472   5.5e-30  102.9   0.0   1   1   8.8e-32   7.2e-30  102.5   0.0    62   277     9   228     2   235 0.85 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 4925at5820           -            472   1.1e-29  101.8   6.5   1   1   1.7e-31   1.4e-29  101.6   6.5    62   253     9   207     2   280 0.84 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 4925at5820           -            472   2.9e-29  100.5   5.4   1   2   1.2e-30   9.9e-29   98.7   2.1    49   262    11   236     1   242 0.82 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 4925at5820           -            472   2.9e-29  100.5   5.4   2   2      0.14        11    2.9   0.1   271   313   272   318   255   324 0.83 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 4925at5820           -            472   5.4e-29   99.6  15.6   1   2   2.8e-21   2.3e-19   67.9   9.9    72   187   283   401   277   407 0.90 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 4925at5820           -            472   5.4e-29   99.6  15.6   2   2   2.7e-11   2.2e-09   35.0   0.3   209   310   530   642   520   655 0.68 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 4925at5820           -            472   8.1e-29   99.0   3.9   1   1   1.5e-30   1.2e-28   98.4   3.9    91   303  1737  1952  1709  1981 0.77 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 4925at5820           -            472   4.1e-27   93.4   2.4   1   1   8.8e-29   7.2e-27   92.6   2.4    61   260  1191  1395  1177  1437 0.88 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 4925at5820           -            472   1.8e-26   91.3   1.3   1   1     3e-28   2.4e-26   90.8   1.3    62   256    17   218     5   232 0.84 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 4925at5820           -            472   2.8e-26   90.6  10.4   1   2   2.6e-15   2.1e-13   48.2   4.8    92   186   251   344   228   356 0.91 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 4925at5820           -            472   2.8e-26   90.6  10.4   2   2   1.8e-14   1.4e-12   45.5   0.2   189   306   395   512   383   516 0.83 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 4925at5820           -            472   3.1e-25   87.2   4.1   1   1   6.1e-27   4.9e-25   86.5   4.1    63   259    15   225     6   234 0.80 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 4925at5820           -            472   5.6e-25   86.4   4.0   1   2   6.9e-27   5.6e-25   86.4   4.0    61   265    19   259     9   264 0.77 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 4925at5820           -            472   5.6e-25   86.4   4.0   2   2      0.41        33    1.4   0.4    74   110   438   475   417   488 0.74 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 4925at5820           -            472   1.5e-24   85.0  10.7   1   1   2.7e-26   2.2e-24   84.4  10.7    54   264    41   251    11   275 0.83 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 4925at5820           -            472   1.5e-24   84.9  10.2   1   1     3e-26   2.4e-24   84.3  10.2    54   264    41   251    12   274 0.83 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 4925at5820           -            472   2.8e-23   80.8   4.2   1   2   2.7e-18   2.2e-16   58.0   2.2    67   188  1126  1251  1108  1276 0.86 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 4925at5820           -            472   2.8e-23   80.8   4.2   2   2   1.8e-07   1.4e-05   22.4   0.0   194   276  1492  1579  1462  1608 0.68 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 4925at5820           -            472     7e-23   79.5  14.7   1   2   6.4e-18   5.2e-16   56.8   7.9    29   215     9   199     5   215 0.76 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 4925at5820           -            472     7e-23   79.5  14.7   2   2   9.5e-09   7.7e-07   26.5   0.5   208   297   343   429   295   466 0.79 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 4925at5820           -            472     2e-22   77.9   2.2   1   1   3.5e-24   2.9e-22   77.4   2.2    62   260   124   332   101   339 0.77 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 4925at5820           -            472     4e-22   76.9   1.3   1   1   6.7e-24   5.5e-22   76.5   1.3   344   471    12   147     4   148 0.82 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 4925at5820           -            472   1.4e-21   75.1  11.8   1   2   1.8e-23   1.4e-21   75.1  11.8    61   261    14   237     5   240 0.84 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 4925at5820           -            472   1.4e-21   75.1  11.8   2   2       3.4   2.7e+02   -1.6   0.1   278   306   278   306   264   310 0.74 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 4925at5820           -            472   1.6e-20   71.7  10.6   1   1   3.2e-22   2.6e-20   71.0  10.6    53   294   370   625   335   642 0.80 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4925at5820           -            472   5.6e-20   69.9   6.0   1   3   2.3e-17   1.9e-15   54.9   4.7    56   203   172   324   139   335 0.81 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4925at5820           -            472   5.6e-20   69.9   6.0   2   3   0.00035     0.028   11.5   0.0   206   244   353   393   345   405 0.82 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
