#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   1   6   5.8e-16   4.6e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1667at5820           -           1065     4e-59  198.9   6.0   1   3   3.9e-47   3.1e-44  149.6   0.5   139   400   538   788   524   798 0.87 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1667at5820           -           1065     4e-59  198.9   6.0   2   3   1.1e-16   8.4e-14   48.8   0.0   459   546   802   889   793   967 0.81 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1667at5820           -           1065     4e-59  198.9   6.0   3   3     0.054        42    0.1   0.1   863   917  1119  1170  1104  1193 0.81 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 1667at5820           -           1065   2.5e-49  166.4   5.8   1   3         7   5.5e+03  -10.5  13.0    10   112    24   134    15   148 0.69 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 1667at5820           -           1065   2.5e-49  166.4   5.8   2   3   3.2e-52   2.5e-49  166.4   5.8   139   545   386   789   370   852 0.80 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 1667at5820           -           1065   2.5e-49  166.4   5.8   3   3      0.88   6.9e+02   -3.9   1.6   717   718  1010  1011   960  1075 0.38 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1667at5820           -           1065   1.4e-48  164.0   8.3   1   4   2.1e-09   1.7e-06   24.6   0.0   157   200     3    46     1    52 0.93 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1667at5820           -           1065   1.4e-48  164.0   8.3   2   4   1.5e-23   1.2e-20   71.5   0.3   209   374    77   231    70   236 0.85 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1667at5820           -           1065   1.4e-48  164.0   8.3   3   4   7.4e-23   5.8e-20   69.2   0.9   454   545   359   450   269   538 0.75 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1667at5820           -           1065   1.4e-48  164.0   8.3   4   4      0.41   3.2e+02   -2.8   0.1   868   907   732   771   721   773 0.83 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 1667at5820           -           1065   1.7e-30  104.1  17.1   1   2   1.8e-24   1.4e-21   74.5   6.7   155   334   416   592   401   621 0.82 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 1667at5820           -           1065   1.7e-30  104.1  17.1   2   2   2.1e-12   1.7e-09   34.6   2.7   461   572   780   891   770   908 0.79 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1667at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:00 2026
# [ok]
