#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   1  13  1.6e-133  1.8e-130  434.7   8.5     1   232     1   244     1   247 0.96 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8  12  13     0.051        56   -0.6   0.1   881   914  2070  2103  2052  2122 0.74 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8  13  13   6.9e-74   7.6e-71  237.3   2.8   915  1025  2192  2306  2151  2306 0.92 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084645.1-p1      -            677 1016at5820           -           1026   2.4e-23   80.1  31.5   1   2         5   5.5e+03   -7.5   3.5   529   538   197   206   194   247 0.48 | transcript=PVX_084645.1 | gene=PVX_084645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:507321-509354(+) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084645.1-p1      -            677 1016at5820           -           1026   2.4e-23   80.1  31.5   2   2   2.1e-26   2.4e-23   80.1  31.5   218   550   342   666   267   675 0.70 | transcript=PVX_084645.1 | gene=PVX_084645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:507321-509354(+) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   1   8         1   1.1e+03   -4.9   0.9   507   569   522   583   514   585 0.36 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   2   8         5   5.5e+03   -7.7   3.9   553   587   734   768   720   791 0.41 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   3   8         5   5.5e+03  -15.3  27.2   487   655   868  1037   851  1056 0.52 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   4   8         5   5.5e+03   -7.3  15.0   771   865  1012  1114   999  1160 0.69 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   5   8      0.38   4.2e+02   -3.5   1.2   791   812  1419  1440  1408  1514 0.47 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   6   8   6.7e-15   7.4e-12   42.0   0.0   902  1010  1799  1901  1731  1906 0.71 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   7   8         5   5.5e+03  -13.0  24.0   445   564  2331  2451  2322  2470 0.56 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113390.1-p1      -           2861 1016at5820           -           1026   7.4e-12   42.0   0.0   8   8         5   5.5e+03  -10.7  23.1   491   565  2485  2559  2455  2628 0.72 | transcript=PVX_113390.1 | gene=PVX_113390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1839942-1848866(-) | protein_length=2861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089000.1-p1      -           1200 1016at5820           -           1026     0.074    8.9   5.4   1   1   9.8e-05      0.11    8.4   5.4   519   574  1039  1093   969  1130 0.70 | transcript=PVX_089000.1 | gene=PVX_089000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr05:215292-218894(-) | protein_length=1200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092785.1-p1      -            324 1016at5820           -           1026      0.71    5.7  12.9   1   1   0.00087      0.96    5.2  12.9   526   589   214   277   149   300 0.59 | transcript=PVX_092785.1 | gene=PVX_092785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1722975-1723949(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1016at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:54 2026
# [ok]
