#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   1  26  1.1e-172    1e-169  564.6  41.2     1   272     1   274     1   278 0.99 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  12  26   3.5e-54   3.3e-51  171.2  11.4  1948  2051  3067  3174  3027  3190 0.83 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  13  26   1.2e-34   1.1e-31  106.4  15.7  2041  2123  3237  3320  3222  3324 0.89 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  14  26   2.1e-60   1.9e-57  191.9  28.2  2070  2236  3328  3503  3323  3508 0.84 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  15  26   1.6e-53   1.5e-50  169.1   7.2  2233  2331  3540  3638  3536  3644 0.96 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  16  26   1.6e-56   1.5e-53  179.0   8.7  2331  2429  3709  3807  3701  3825 0.96 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  17  26   3.9e-34   3.6e-31  104.7   1.8  2427  2500  3870  3944  3866  3949 0.94 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  18  26  1.7e-121  1.6e-118  394.6  15.9  2496  2681  3999  4184  3984  4190 0.97 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  19  26   8.2e-60   7.5e-57  189.9   1.2  2676  2790  4210  4332  4192  4337 0.91 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  20  26  7.2e-170  6.7e-167  555.2  21.6  2778  3061  4441  4748  4433  4751 0.93 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  21  26  2.7e-136  2.4e-133  443.8  16.6  3057  3291  4877  5120  4863  5132 0.93 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  22  26   1.6e-71   1.5e-68  228.8   0.7  3284  3414  5179  5330  5171  5338 0.90 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  23  26  1.6e-220  1.5e-217  723.4  48.0  3410  3830  5402  5891  5391  5912 0.88 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  24  26    0.0078       7.1    0.8   0.0  3825  3851  5958  5986  5950  5994 0.81 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  25  26  1.8e-123  1.6e-120  401.3  17.3  3852  4081  6056  6320  6032  6328 0.89 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  26  26    1e-128  9.6e-126  418.6   2.4  4083  4310  6412  6648  6398  6648 0.93 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 43at5820             -           4310      0.26    5.6  10.8   1   1    0.0004      0.36    5.1  10.8  3599  3638  1489  1528  1416  1535 0.75 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119825.1-p1      -            254 43at5820             -           4310       1.7    2.9  22.1   1   1    0.0025       2.3    2.5  22.1  3543  3654   129   245    95   250 0.66 | transcript=PVX_119825.1 | gene=PVX_119825 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1174711-1175475(-) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 43at5820             -           4310       1.9    2.7  26.0   1   1    0.0032         3    2.1  26.0  3605  3654   145   193   110   197 0.59 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003550.1-p1      -            257 43at5820             -           4310       3.5    1.9  13.4   1   1    0.0039       3.6    1.8  13.4  3609  3651    99   141    76   228 0.85 | transcript=PVX_003550.1 | gene=PVX_003550 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr04:796619-797662(-) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 43at5820             -           4310       7.7    0.7  12.0   1   1     0.013        12    0.1  12.0  3519  3657   145   290   135   326 0.66 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/43at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/43at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/43at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:29 2026
# [ok]
