#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084650.1-p1      -            421 6860at5820           -            348  3.1e-209  692.2  35.1   1   1  7.2e-210  1.7e-207  686.5  35.1     1   348    19   421    19   421 0.93 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 6860at5820           -            348   4.4e-13   47.1   2.2   1   3         1   2.5e+02   -1.4   0.1    52    75   118   141   112   162 0.71 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 6860at5820           -            348   4.4e-13   47.1   2.2   2   3   1.8e-15   4.4e-13   47.1   2.2     4   114   186   300   183   314 0.80 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 6860at5820           -            348   4.4e-13   47.1   2.2   3   3      0.38        91    0.0   1.2   297   335   487   528   458   529 0.74 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 6860at5820           -            348   8.9e-13   46.1   0.1   1   1   6.2e-15   1.5e-12   45.4   0.1     8    72   298   366   294   386 0.87 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 6860at5820           -            348   2.1e-11   41.6   0.7   1   1   1.4e-13   3.5e-11   40.9   0.7     6    71    52   120    48   134 0.88 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 6860at5820           -            348   1.2e-10   39.1   2.2   1   1   8.5e-13     2e-10   38.4   2.2     6    72   109   178   105   190 0.89 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 6860at5820           -            348   1.4e-10   38.9   0.2   1   2   5.9e-13   1.4e-10   38.9   0.2     8    77    52   122    49   136 0.85 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 6860at5820           -            348   1.4e-10   38.9   0.2   2   2       3.3     8e+02   -3.1   0.4    94   121   258   285   249   317 0.59 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 6860at5820           -            348   1.2e-09   35.8   2.0   1   2   5.2e-12   1.2e-09   35.8   2.0     9    69     8    77     2    97 0.79 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 6860at5820           -            348   1.2e-09   35.8   2.0   2   2       1.4   3.4e+02   -1.9   0.5    55    80   155   180   133   195 0.62 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 6860at5820           -            348   3.1e-09   34.5   2.7   1   1   4.5e-11   1.1e-08   32.7   2.7     8    69   141   206   136   219 0.87 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 6860at5820           -            348   4.7e-08   30.6  15.4   1   3   4.8e-07   0.00012   19.4   0.5     9    49     8    49     2    94 0.68 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 6860at5820           -            348   4.7e-08   30.6  15.4   2   3   3.4e-07   8.2e-05   19.9   0.9    45    79   117   151   112   190 0.88 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 6860at5820           -            348   4.7e-08   30.6  15.4   3   3      0.37        90    0.1   1.5   287   324   262   302   230   329 0.68 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 6860at5820           -            348   1.6e-07   28.9   0.0   1   1   1.4e-09   3.4e-07   27.8   0.0    11    71   131   195   124   201 0.88 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 6860at5820           -            348   1.4e-05   22.4   1.5   1   1   8.2e-08     2e-05   22.0   1.5     9    82     2    77     1    81 0.83 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 6860at5820           -            348   0.00016   19.0   0.1   1   2   6.7e-07   0.00016   19.0   0.1    11    40    10    39     3    53 0.92 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 6860at5820           -            348   0.00016   19.0   0.1   2   2       1.7     4e+02   -2.1   0.2     7    13   117   123    70   141 0.59 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092765.1-p1      -            321 6860at5820           -            348   0.00018   18.8   2.2   1   1   1.8e-06   0.00043   17.6   2.2     6    70    33    95    30   103 0.87 | transcript=PVX_092765.1 | gene=PVX_092765 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr09:1711274-1712385(+) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096125.1-p1      -            115 6860at5820           -            348    0.0053   14.0   0.2   1   1   2.8e-05    0.0067   13.6   0.2     3    57    59   113    57   115 0.90 | transcript=PVX_096125.1 | gene=PVX_096125 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=Pv_Sal1_chr03:745795-746433(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6860at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:56 2026
# [ok]
