#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117385.1-p1      -            326 9005at5820           -            283  1.8e-147  488.2  30.1   1   2   3.5e-05     0.018   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 9005at5820           -            283   1.8e-10   38.7  24.8   1   1   6.9e-12   3.5e-09   34.4  24.4    21   212   154   356   149   365 0.87 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 9005at5820           -            283   4.6e-10   37.3   8.3   1   2   0.00086      0.43    7.9  16.3   135   181    44    93     4   109 0.58 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 9005at5820           -            283   4.6e-10   37.3   8.3   2   2   9.1e-13   4.6e-10   37.3   8.3    19   114   244   342   229   353 0.81 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085209.1-p1      -            148 9005at5820           -            283   7.3e-07   26.8   8.0   1   1   3.5e-09   1.7e-06   25.6   7.6    36    97    12    73     6    80 0.88 | transcript=PVX_085209.1 | gene=PVX_085209 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1015550-1016492(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 9005at5820           -            283   1.8e-06   25.6   0.4   1   1   7.9e-09     4e-06   24.4   0.4    65   129    14    81     9   102 0.83 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 9005at5820           -            283   7.2e-06   23.6   9.2   1   2   1.4e-08   7.2e-06   23.6   9.2   151   212    38   103    34   104 0.90 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 9005at5820           -            283   7.2e-06   23.6   9.2   2   2     0.047        23    2.2   0.7   152   209   108   166   100   173 0.76 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 9005at5820           -            283   0.00027   18.4   6.8   1   5     0.059        30    1.9   0.2   186   221    67   102    56   114 0.84 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 9005at5820           -            283   0.00027   18.4   6.8   2   5     0.035        18    2.6   5.5    46   105   135   201   102   208 0.71 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 9005at5820           -            283   0.00027   18.4   6.8   3   5     0.038        19    2.5   1.6   156   180   265   289   262   301 0.84 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 9005at5820           -            283   0.00027   18.4   6.8   4   5   5.4e-07   0.00027   18.4   6.8    43    97   299   354   291   399 0.77 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 9005at5820           -            283   0.00027   18.4   6.8   5   5       1.6   7.8e+02   -2.8   1.9    70   125   831   885   796   890 0.62 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 9005at5820           -            283    0.0026   15.2   8.6   1   2   0.00013     0.065   10.6   1.8    46    81    17    53     9    76 0.65 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 9005at5820           -            283    0.0026   15.2   8.6   2   2    0.0012      0.59    7.4   0.8   176   201    94   119    72   138 0.77 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:32 2026
# [ok]
