#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116695.1-p1      -            536 6119at5820           -            430  6.7e-250  827.4  23.2   1   2  5.7e-118    4e-115  383.4   6.4     1   189    47   239    47   242 0.98 | transcript=PVX_116695.1 | gene=PVX_116695 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin V, putative | transcript_product=plasmepsin V, putative | location=Pv_Sal1_chr12:1212479-1214089(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 6119at5820           -            430    0.0006   17.0   2.0   1   3   5.7e-05     0.039   11.0   0.0    16    64   260   308   255   320 0.83 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 6119at5820           -            430    0.0006   17.0   2.0   2   3    0.0047       3.3    4.7   0.2   155   213   392   451   360   467 0.69 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 6119at5820           -            430    0.0006   17.0   2.0   3   3       1.2   8.3e+02   -3.2   0.0   222   246   588   609   581   655 0.70 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 6119at5820           -            430   0.00067   16.9   3.6   1   3       2.1   1.4e+03   -4.0   0.2    42    52    37    47    33    79 0.67 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 6119at5820           -            430   0.00067   16.9   3.6   2   3   0.00013     0.091    9.8   0.0    21    66   218   263   211   283 0.86 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 6119at5820           -            430   0.00067   16.9   3.6   3   3   0.00046      0.32    8.0   0.1   130   234   318   431   297   457 0.69 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111035.1-p1      -            479 6119at5820           -            430     0.013   12.6   0.1   1   2    0.0029         2    5.4   0.0    14    52    84   123    74   288 0.57 | transcript=PVX_111035.1 | gene=PVX_111035 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr06:769058-771632(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111035.1-p1      -            479 6119at5820           -            430     0.013   12.6   0.1   2   2    0.0074       5.1    4.1   0.0   346   372   411   437   363   450 0.80 | transcript=PVX_111035.1 | gene=PVX_111035 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr06:769058-771632(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6119at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:15 2026
# [ok]
