#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101280.1-p1      -            611 5171at5820           -            438  1.1e-213  708.2   7.8   1   3   2.7e-83   7.1e-81  270.5   0.0     1   180    16   215    16   220 0.90 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 5171at5820           -            438   3.7e-13   47.4   7.8   1   2         3     8e+02   -3.2   0.1    62    80   188   206   131   210 0.60 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 5171at5820           -            438   3.7e-13   47.4   7.8   2   2   1.4e-15   3.7e-13   47.4   7.8   235   420   278   469   244   473 0.76 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 5171at5820           -            438   2.1e-12   44.9  14.4   1   2   6.5e-12   1.7e-09   35.3   4.9   228   394    29   189    26   219 0.67 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 5171at5820           -            438   2.1e-12   44.9  14.4   2   2   1.8e-05    0.0047   14.1   2.0   395   418   224   247   219   262 0.87 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 5171at5820           -            438   2.3e-10   38.2  19.6   1   2   3.1e-09   8.1e-07   26.5  12.8   227   393   345   505   218   533 0.67 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 5171at5820           -            438   2.3e-10   38.2  19.6   2   2   1.4e-05    0.0036   14.5   0.5   395   418   541   564   535   578 0.88 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 5171at5820           -            438   2.8e-10   37.9  19.4   1   2   3.2e-09   8.5e-07   26.4  12.6   227   393   345   505   218   533 0.67 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 5171at5820           -            438   2.8e-10   37.9  19.4   2   2   1.5e-05    0.0039   14.4   0.5   395   418   541   564   535   579 0.87 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091405.1-p1      -            484 5171at5820           -            438   2.5e-09   34.7  10.7   1   1     1e-10   2.7e-08   31.4  10.7   227   415   268   462   136   469 0.72 | transcript=PVX_091405.1 | gene=PVX_091405 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:492204-493658(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 5171at5820           -            438     8e-07   26.5   0.4   1   1   6.4e-09   1.7e-06   25.4   0.4   357   416   669   743   657   764 0.68 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003825.1-p1      -           1007 5171at5820           -            438   8.4e-07   26.4   0.7   1   1   5.4e-09   1.4e-06   25.7   0.7   375   416   613   661   594   680 0.80 | transcript=PVX_003825.1 | gene=PVX_003825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:578341-582085(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003845.1-p1      -           1203 5171at5820           -            438   2.5e-06   24.9   0.1   1   1   1.8e-08   4.7e-06   24.0   0.1   376   416   825   872   794   892 0.76 | transcript=PVX_003845.1 | gene=PVX_003845 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:556300-560502(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 5171at5820           -            438   4.9e-06   23.9   0.1   1   3       1.3   3.3e+02   -1.9   0.3   225   252   248   278   242   286 0.66 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 5171at5820           -            438   4.9e-06   23.9   0.1   2   3   1.9e-08   4.9e-06   23.9   0.1   382   415   449   489   427   496 0.89 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 5171at5820           -            438   4.9e-06   23.9   0.1   3   3       2.2   5.8e+02   -2.7   0.2   233   263   648   678   627   690 0.72 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 5171at5820           -            438   1.4e-05   22.4   0.9   1   2       2.9   7.7e+02   -3.1   0.1   235   261   551   577   544   584 0.81 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 5171at5820           -            438   1.4e-05   22.4   0.9   2   2   8.8e-08   2.3e-05   21.7   0.1   370   430   714   785   700   791 0.73 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 5171at5820           -            438   2.6e-05   21.5   1.7   1   2       1.3   3.5e+02   -2.0   0.2   256   324   235   305   225   312 0.67 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 5171at5820           -            438   2.6e-05   21.5   1.7   2   2   1.4e-07   3.7e-05   21.0   0.1   382   430   703   762   692   766 0.73 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 5171at5820           -            438   3.1e-05   21.3   1.4   1   2       5.2   1.4e+03   -3.9   0.1   310   325   340   355   335   360 0.78 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 5171at5820           -            438   3.1e-05   21.3   1.4   2   2   1.4e-07   3.7e-05   21.0   0.1   380   417   754   798   741   819 0.73 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 5171at5820           -            438   3.1e-05   21.3   2.8   1   2     0.091        24    1.9   0.4   233   256   571   594   548   616 0.77 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 5171at5820           -            438   3.1e-05   21.3   2.8   2   2   1.2e-07   3.1e-05   21.3   2.8   376   416   742   789   708   809 0.70 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 5171at5820           -            438   3.5e-05   21.1   1.5   1   2      0.11        30    1.6   0.2   233   256   530   553   513   563 0.77 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 5171at5820           -            438   3.5e-05   21.1   1.5   2   2   1.3e-07   3.5e-05   21.1   1.5   373   416   698   748   667   770 0.73 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 5171at5820           -            438   3.6e-05   21.1   1.5   1   2       2.4   6.2e+02   -2.8   0.1   145   177   318   351   287   366 0.69 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 5171at5820           -            438   3.6e-05   21.1   1.5   2   2   1.8e-07   4.9e-05   20.6   0.2   379   415   669   712   637   732 0.82 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 5171at5820           -            438   4.3e-05   20.8   1.0   1   2       2.2   5.8e+02   -2.7   0.1   136   177   379   421   360   438 0.68 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 5171at5820           -            438   4.3e-05   20.8   1.0   2   2   2.7e-07   7.2e-05   20.1   0.1   381   415   745   786   734   806 0.81 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 5171at5820           -            438   0.00017   18.8   2.2   1   2      0.51   1.4e+02   -0.6   0.1   255   324   252   323   248   332 0.72 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 5171at5820           -            438   0.00017   18.8   2.2   2   2   8.8e-07   0.00023   18.4   0.2   379   416   708   752   695   773 0.78 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:28 2026
# [ok]
