#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085540.1-p1      -            136 14128at5820          -            118   8.2e-56  185.7   5.7   1   1   1.2e-56     4e-54  180.2   5.7     2   118     4   136     3   136 0.94 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 14128at5820          -            118    0.0088   14.6   3.1   2   2      0.83   2.7e+02    0.1   0.0    10    26   129   145   122   156 0.69 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 14128at5820          -            118     0.012   14.2   0.4   1   2     0.037        12    4.5   0.0     4    35  1466  1497  1463  1521 0.86 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 14128at5820          -            118     0.012   14.2   0.4   2   2     0.008       2.6    6.6   0.1     4    27  1535  1558  1532  1574 0.78 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14128at5820          -            118     0.019   13.5   8.6   1   3       2.9   9.3e+02   -1.6   0.2    50    85   139   174   126   186 0.66 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14128at5820          -            118     0.019   13.5   8.6   2   3     0.051        17    4.0   0.0     6    32   426   452   422   465 0.87 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14128at5820          -            118     0.019   13.5   8.6   3   3   0.00049      0.16   10.5   0.3     3    39   494   530   492   560 0.88 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 14128at5820          -            118     0.079   11.5   1.9   1   3    0.0064       2.1    7.0   0.1     4    26   132   154   129   194 0.90 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 14128at5820          -            118     0.079   11.5   1.9   2   3      0.15        48    2.5   0.2    30    64   202   236   176   248 0.78 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 14128at5820          -            118     0.079   11.5   1.9   3   3       1.4   4.6e+02   -0.6   0.0     8    26   250   268   243   272 0.75 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14128at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14128at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14128at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:33 2026
# [ok]
