#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113755.1-p1      -           1591 2625at5820           -           1265         0 1642.9  25.5   1   1         0         0 1642.6  25.5     1  1265     1  1591     1  1591 0.75 | transcript=PVX_113755.1 | gene=PVX_113755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1523510-1529297(+) | protein_length=1591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085295.1-p1      -           1484 2625at5820           -           1265    0.0027   13.9  57.7   2   2     0.023       4.8    3.2  40.0   363   619   937  1303   911  1359 0.31 | transcript=PVX_085295.1 | gene=PVX_085295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1074171-1078625(+) | protein_length=1484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082675.1-p1      -            453 2625at5820           -           1265    0.0092   12.2   9.4   1   1   4.2e-05     0.009   12.2   9.4   344   462    25   164     3   413 0.54 | transcript=PVX_082675.1 | gene=PVX_082675 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:766598-767959(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 2625at5820           -           1265    0.0094   12.2   5.2   1   1   6.1e-05     0.013   11.7   5.2   379   413   487   519   432   598 0.65 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 2625at5820           -           1265     0.011   11.9  22.2   1   1   6.6e-05     0.014   11.6  22.2   356   514    74   312     5   364 0.41 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083020.1-p1      -            384 2625at5820           -           1265      0.05    9.8  31.6   1   1    0.0003     0.063    9.4  31.6   371   494    39   236     6   253 0.43 | transcript=PVX_083020.1 | gene=PVX_083020 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=Pv_Sal1_chr12:512034-513411(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121912.1-p1      -            382 2625at5820           -           1265     0.064    9.4  35.8   1   1   0.00041     0.086    9.0  35.8   369   583    70   316     5   380 0.30 | transcript=PVX_121912.1 | gene=PVX_121912 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr14:87536-89021(+) | protein_length=382 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082670.1-p1      -            411 2625at5820           -           1265     0.065    9.4  17.3   1   1   0.00035     0.074    9.2  17.3   338   503    28   253     8   356 0.38 | transcript=PVX_082670.1 | gene=PVX_082670 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7), putative | transcript_product=merozoite surface protein 7 (MSP7), putative | location=Pv_Sal1_chr12:768998-770233(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 2625at5820           -           1265     0.081    9.1  39.7   1   1    0.0005      0.11    8.7  39.7   327   552    25   279    13   312 0.31 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089910.1-p1      -           1295 2625at5820           -           1265     0.088    8.9  60.1   1   2    0.0052       1.1    5.3  27.4   378   582   249   485   183   554 0.33 | transcript=PVX_089910.1 | gene=PVX_089910 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=Pv_Sal1_chr05:933693-937934(+) | protein_length=1295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089910.1-p1      -           1295 2625at5820           -           1265     0.088    8.9  60.1   2   2   0.00028      0.06    9.5  24.7   371   697   795  1271   707  1290 0.43 | transcript=PVX_089910.1 | gene=PVX_089910 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=Pv_Sal1_chr05:933693-937934(+) | protein_length=1295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094905.1-p1      -            453 2625at5820           -           1265      0.33    7.0  55.1   1   1    0.0019       0.4    6.8  55.1   379   606    68   351    15   420 0.29 | transcript=PVX_094905.1 | gene=PVX_094905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:631204-633526(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086920.1-p1      -            282 2625at5820           -           1265      0.35    7.0  18.7   1   1    0.0017      0.36    6.9  18.7   362   506    93   252     5   280 0.37 | transcript=PVX_086920.1 | gene=PVX_086920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr07:1380491-1381592(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083445.1-p1      -            932 2625at5820           -           1265      0.37    6.9  24.4   1   1    0.0023      0.48    6.5  24.4   355   567   375   575   265   660 0.39 | transcript=PVX_083445.1 | gene=PVX_083445 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol transfer protein, putative | transcript_product=phosphatidylinositol transfer protein, putative | location=Pv_Sal1_chr12:117584-120382(-) | protein_length=932 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002710.1-p1      -            661 2625at5820           -           1265      0.63    6.1  15.6   1   1     0.004      0.85    5.7  15.6   403   646    58   327    27   360 0.22 | transcript=PVX_002710.1 | gene=PVX_002710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:206347-208332(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089435.1-p1      -            536 2625at5820           -           1265      0.92    5.6  30.8   1   1    0.0056       1.2    5.2  30.8   357   569   238   495   183   533 0.29 | transcript=PVX_089435.1 | gene=PVX_089435 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:556717-558473(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097735.1-p1      -            299 2625at5820           -           1265      0.96    5.5  40.8   1   1    0.0054       1.1    5.3  40.8   344   510    37   235     9   290 0.27 | transcript=PVX_097735.1 | gene=PVX_097735 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1209374-1210273(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094555.1-p1      -            529 2625at5820           -           1265       1.8    4.6  26.4   1   1    0.0098       2.1    4.4  26.4   379   507   397   510   332   529 0.41 | transcript=PVX_094555.1 | gene=PVX_094555 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rho-GTPase-activating protein 1, putative | transcript_product=Rho-GTPase-activating protein 1, putative | location=Pv_Sal1_chr08:327097-329386(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097990.1-p1      -            270 2625at5820           -           1265       1.8    4.6  16.9   1   1      0.01       2.2    4.3  16.9   409   570    50   248    19   269 0.26 | transcript=PVX_097990.1 | gene=PVX_097990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:995186-995998(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116750.1-p1      -            416 2625at5820           -           1265       2.7    4.0  38.6   1   1     0.015       3.2    3.8  38.6   383   606   101   380    37   410 0.31 | transcript=PVX_116750.1 | gene=PVX_116750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:1240224-1241811(-) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 2625at5820           -           1265       4.7    3.2  61.5   1   1     0.025       5.4    3.0  61.5   371   503   159   284    97   290 0.34 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082745.1-p1      -            386 2625at5820           -           1265       7.5    2.5  54.5   1   1     0.047        10    2.1  54.5   377   609    27   316     3   373 0.25 | transcript=PVX_082745.1 | gene=PVX_082745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:720778-722709(-) | protein_length=386 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2625at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:04 2026
# [ok]
