#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113285.1-p1      -            920 2651at5820           -            741         0 1568.9  48.5   1   3  1.2e-202  4.7e-200  664.7  16.3    12   321    90   400    78   405 0.98 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 2651at5820           -            741   8.5e-06   22.5   1.9   2   2     0.016       6.1    3.1   0.1   318   408  1260  1347  1240  1362 0.82 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 2651at5820           -            741   2.1e-05   21.2   0.4   1   1     8e-08   3.2e-05   20.6   0.4    11   174   101   279    96   318 0.72 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2651at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2651at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2651at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:07 2026
# [ok]
