#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   1  16   7.8e-22   4.3e-18   63.9   3.7     1    48     1    60     1    84 0.84 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  12  16   4.4e-08   0.00025   18.6   2.4    47    69   310   332   307   336 0.92 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  13  16   2.3e-06     0.012   13.0  51.4    46   211   335   503   321   529 0.57 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  14  16   5.2e-19   2.9e-15   54.5   9.2    87   148   546   620   534   627 0.83 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  15  16  3.8e-127  2.1e-123  410.6  15.6   142   377   682   931   674   939 0.93 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  16  16   9.7e-09   5.3e-05   20.7   0.9   371   394   950   973   944   973 0.93 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5783at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:18 2026
# [ok]
