#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094790.1-p1      -            273 9897at5820           -            230  7.2e-147  485.3   8.4   1   2       4.4   2.2e+03   -3.8   0.3     1     8    12    19    12    20 0.90 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 9897at5820           -            230   1.9e-06   25.9   0.1   1   1   6.5e-09   3.3e-06   25.1   0.1    26   148     8   127     2   137 0.87 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 9897at5820           -            230   6.9e-05   20.8   2.5   1   1   1.8e-07   9.3e-05   20.3   2.5    27   171    31   180    20   240 0.79 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113585.1-p1      -            235 9897at5820           -            230   0.00011   20.0   0.4   1   1   2.9e-07   0.00015   19.7   0.4    29   182    34   191    22   203 0.82 | transcript=PVX_113585.1 | gene=PVX_113585 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=Pv_Sal1_chr11:1683647-1684506(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118620.1-p1      -            269 9897at5820           -            230    0.0065   14.3   0.6   1   1   1.7e-05    0.0088   13.9   0.6    25   152    30   157    23   178 0.70 | transcript=PVX_118620.1 | gene=PVX_118620 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=Pv_Sal1_chr12:2901610-2902849(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9897at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:08 2026
# [ok]
