#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122865.1-p1      -           2834 366at5820            -           2063         0 2870.4  58.3   1   1         0         0 2868.3  58.3     1  2062     1  2829     1  2830 0.86 | transcript=PVX_122865.1 | gene=PVX_122865 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:932047-941244(-) | protein_length=2834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118540.1-p1      -            356 366at5820            -           2063      0.14    7.4   8.3   1   1   0.00096      0.16    7.3   8.3   481   635    29   187    14   270 0.47 | transcript=PVX_118540.1 | gene=PVX_118540 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=Pv_Sal1_chr12:2816415-2817650(-) | protein_length=356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 366at5820            -           2063      0.34    6.2  47.4   1   1    0.0025       0.4    5.9  47.4   571   696   158   286    75   290 0.48 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118135.1-p1      -            530 366at5820            -           2063      0.41    5.9  59.0   1   1    0.0033      0.53    5.5  59.0   436   757   122   486    57   526 0.54 | transcript=PVX_118135.1 | gene=PVX_118135 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2435874-2437620(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117845.1-p1      -            318 366at5820            -           2063      0.45    5.8  26.3   1   1    0.0032      0.53    5.5  26.3   341   604    24   290    21   318 0.39 | transcript=PVX_117845.1 | gene=PVX_117845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2184984-2187380(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097715.1-p1      -            450 366at5820            -           2063      0.46    5.7  27.6   1   1    0.0034      0.56    5.4  27.6   435   650    69   370    19   439 0.26 | transcript=PVX_097715.1 | gene=PVX_097715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1222636-1223988(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 366at5820            -           2063       0.8    4.9  26.3   1   1    0.0056      0.91    4.7  26.3   458   663    74   282     9   313 0.31 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082675.1-p1      -            453 366at5820            -           2063      0.96    4.7   8.4   1   1    0.0066       1.1    4.5   8.4   539   684    41   335    26   404 0.44 | transcript=PVX_082675.1 | gene=PVX_082675 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:766598-767959(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 366at5820            -           2063         1    4.6  10.2   1   1    0.0073       1.2    4.4  10.2   594   667    92   199    37   311 0.48 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 366at5820            -           2063       1.7    3.9  12.4   1   1     0.011       1.8    3.8  12.4   532   630    37   129     2   136 0.43 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088070.1-p1      -            280 366at5820            -           2063       2.2    3.4  25.7   1   1     0.014       2.2    3.4  25.7   529   681    67   223    11   280 0.32 | transcript=PVX_088070.1 | gene=PVX_088070 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:412151-412993(-) | protein_length=280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 366at5820            -           2063       2.3    3.4  27.7   1   1     0.016       2.6    3.2  27.7   408   663    54   323    27   328 0.33 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084935.1-p1      -           1655 366at5820            -           2063       2.4    3.4  26.4   1   1     0.033       5.3    2.2  26.4   497   633   531   642   495   866 0.36 | transcript=PVX_084935.1 | gene=PVX_084935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:788712-793868(-) | protein_length=1655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 366at5820            -           2063       2.5    3.3  22.8   1   1     0.017       2.7    3.2  22.8   562   721    93   222     3   281 0.37 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 366at5820            -           2063       2.7    3.2  17.0   1   1      0.02       3.3    2.9  17.0   553   689   382   537   208   650 0.46 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090205.1-p1      -            581 366at5820            -           2063       3.3    2.9  62.8   1   1     0.027       4.4    2.5  62.8   408   741   208   564   180   572 0.34 | transcript=PVX_090205.1 | gene=PVX_090205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1225992-1227737(-) | protein_length=581 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 366at5820            -           2063       4.1    2.6  17.2   1   1     0.027       4.4    2.5  17.2   508   683   169   354    38   440 0.45 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096240.1-p1      -            893 366at5820            -           2063       4.4    2.5   8.6   1   1     0.046       7.5    1.7   8.6   512   650    43   293     5   390 0.30 | transcript=PVX_096240.1 | gene=PVX_096240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:672591-675272(-) | protein_length=893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101130.1-p1      -            205 366at5820            -           2063       4.4    2.5  32.2   1   1     0.032       5.2    2.2  32.2   581   704    44   179    14   201 0.29 | transcript=PVX_101130.1 | gene=PVX_101130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2662851-2663816(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099885.1-p1      -           2081 366at5820            -           2063       4.9    2.3  32.8   1   1     0.042       6.8    1.8  32.8   406   656   343   630   331   741 0.47 | transcript=PVX_099885.1 | gene=PVX_099885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr07:1094497-1100742(-) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094555.1-p1      -            529 366at5820            -           2063       6.1    2.0  24.8   1   1     0.051       8.3    1.6  24.8   551   681   383   509   362   528 0.40 | transcript=PVX_094555.1 | gene=PVX_094555 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rho-GTPase-activating protein 1, putative | transcript_product=Rho-GTPase-activating protein 1, putative | location=Pv_Sal1_chr08:327097-329386(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110945.1-p1      -            343 366at5820            -           2063       6.7    1.9  17.6   1   1     0.049       7.9    1.6  17.6   554   735   144   325    20   340 0.33 | transcript=PVX_110945.1 | gene=PVX_110945 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr06:832727-833758(+) | protein_length=343 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003770.1-p1      -            387 366at5820            -           2063       8.2    1.6  18.7   1   1      0.06       9.8    1.3  18.7   558   739    91   317    32   343 0.38 | transcript=PVX_003770.1 | gene=PVX_003770 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=Pv_Sal1_chr04:629406-630939(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 366at5820            -           2063       9.3    1.4  37.2   1   1     0.077        13    1.0  37.2   409   698   130   386    25   430 0.33 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/366at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/366at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/366at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:12 2026
# [ok]
