#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085345.1-p1      -           1004 4147at5820           -            788         0 1169.4   8.0   1   2  6.1e-227  6.5e-225  747.2   0.0     1   456     1   581     1   600 0.89 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 4147at5820           -            788   0.00014   18.4  37.4   1   2       6.9   7.4e+02   -3.8   7.1   467   500    45    82     8   132 0.42 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 4147at5820           -            788   0.00014   18.4  37.4   2   2   1.4e-06   0.00014   18.4  37.4   468   627   204   357   185   374 0.39 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 4147at5820           -            788    0.0002   17.9  16.8   1   4    0.0096         1    5.7  18.7   489   620   221   350   160   368 0.54 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 4147at5820           -            788    0.0002   17.9  16.8   2   4   1.9e-06    0.0002   17.9  16.8   531   645   460   566   415   569 0.49 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 4147at5820           -            788    0.0002   17.9  16.8   3   4     0.037       3.9    3.8  23.5   531   626   592   701   581   718 0.52 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 4147at5820           -            788    0.0002   17.9  16.8   4   4      0.29        31    0.8   6.7   503   584  1161  1240  1139  1287 0.43 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092605.1-p1      -            444 4147at5820           -            788   0.00023   17.7  46.5   1   1   2.2e-06   0.00023   17.7  46.5   456   608   282   438   258   443 0.45 | transcript=PVX_092605.1 | gene=PVX_092605 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1563816-1565328(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 4147at5820           -            788   0.00036   17.1  29.1   1   1   4.7e-06    0.0005   16.6  29.1   491   618   245   372   225   410 0.53 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 4147at5820           -            788   0.00079   16.0  13.1   1   1     1e-05    0.0011   15.5  13.1   521   576    40    92     4   154 0.42 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_081400.1-p1      -           1478 4147at5820           -            788   0.00081   15.9  25.6   1   1   1.5e-05    0.0016   15.0  25.6   482   602   185   311   173   344 0.34 | transcript=PVX_081400.1 | gene=PVX_081400 | organism=Plasmodium_vivax_Sal-1 | gene_product=patched family protein, putative | transcript_product=patched family protein, putative | location=Pv_Sal1_chr02:318760-323618(+) | protein_length=1478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 4147at5820           -            788   0.00085   15.9  44.2   1   2   0.00077     0.082    9.3  19.0   535   592   220   274   196   314 0.32 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 4147at5820           -            788   0.00085   15.9  44.2   2   2   9.5e-05      0.01   12.3  17.2   520   618   395   490   374   503 0.50 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122270.1-p1      -            467 4147at5820           -            788     0.001   15.6   5.4   1   1   1.4e-05    0.0015   15.1   5.4   535   615    71   139    52   170 0.42 | transcript=PVX_122270.1 | gene=PVX_122270 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=Pv_Sal1_chr14:443954-447043(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081847.1-p1      -            356 4147at5820           -            788    0.0014   15.1  19.2   1   1   1.7e-05    0.0018   14.8  19.2   464   625    57   224    47   244 0.47 | transcript=PVX_081847.1 | gene=PVX_081847 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr02:747680-748930(-) | protein_length=356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113380.1-p1      -            709 4147at5820           -            788      0.03   10.8   1.3   1   1   0.00042     0.045   10.2   1.3   541   573   310   332   276   395 0.58 | transcript=PVX_113380.1 | gene=PVX_113380 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1854575-1856704(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 4147at5820           -            788     0.033   10.6  18.8   1   1   0.00029      0.03   10.7  18.8   520   586    88   154    22   158 0.47 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000745.1-p1      -            845 4147at5820           -            788     0.054    9.9  15.4   1   2   0.00054     0.057    9.8  13.2   526   638    97   226    74   231 0.43 | transcript=PVX_000745.1 | gene=PVX_000745 | organism=Plasmodium_vivax_Sal-1 | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=Pv_Sal1_chr03:336120-338775(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000745.1-p1      -            845 4147at5820           -            788     0.054    9.9  15.4   2   2         1   1.1e+02   -1.0   0.0   712   739   689   716   683   723 0.91 | transcript=PVX_000745.1 | gene=PVX_000745 | organism=Plasmodium_vivax_Sal-1 | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=Pv_Sal1_chr03:336120-338775(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084120.1-p1      -            251 4147at5820           -            788     0.093    9.1  17.9   1   1   0.00098       0.1    9.0  17.9   456   578    30   137    14   209 0.43 | transcript=PVX_084120.1 | gene=PVX_084120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:23506-24683(-) | protein_length=251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 4147at5820           -            788      0.11    8.9  24.5   1   1    0.0016      0.17    8.3  24.5   522   624    47   148     9   162 0.65 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116582.1-p1      -            822 4147at5820           -            788      0.12    8.7   4.4   1   1    0.0021      0.22    7.9   4.4   540   567   507   534   482   576 0.56 | transcript=PVX_116582.1 | gene=PVX_116582 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr12:1103176-1105909(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100565.1-p1      -            367 4147at5820           -            788      0.16    8.4  23.5   1   2       0.3        32    0.7   0.1   145   167    20    42     8    87 0.47 | transcript=PVX_100565.1 | gene=PVX_100565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2194680-2195783(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100565.1-p1      -            367 4147at5820           -            788      0.16    8.4  23.5   2   2    0.0005     0.054    9.9  18.8   514   636   176   294   104   298 0.47 | transcript=PVX_100565.1 | gene=PVX_100565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2194680-2195783(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 4147at5820           -            788      0.18    8.2  16.3   1   2    0.0068      0.72    6.2   1.7   548   575   243   267   229   331 0.49 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 4147at5820           -            788      0.18    8.2  16.3   2   2    0.0038      0.41    7.0   7.2   515   589   821   896   776   944 0.55 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 4147at5820           -            788      0.18    8.2  38.1   1   3       3.5   3.8e+02   -2.8   0.9   131   204   424   499   348   512 0.54 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 4147at5820           -            788      0.18    8.2  38.1   2   3   6.3e-05    0.0067   12.9  30.9   502   598  1619  1710  1579  1760 0.46 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 4147at5820           -            788      0.18    8.2  38.1   3   3       8.2   8.8e+02   -4.0   0.0   585   647  2288  2350  2278  2351 0.78 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091820.1-p1      -           1497 4147at5820           -            788      0.21    7.9  22.2   1   1    0.0042      0.44    6.9  22.2   529   575   825   866   798   876 0.43 | transcript=PVX_091820.1 | gene=PVX_091820 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:870588-875081(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 4147at5820           -            788      0.22    7.9  31.3   1   2   3.4e-05    0.0036   13.8  23.0   519   565   119   165    50   203 0.61 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 4147at5820           -            788      0.22    7.9  31.3   2   2         1   1.1e+02   -1.0   1.1   522   545   404   422   370   428 0.42 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091560.1-p1      -            560 4147at5820           -            788      0.23    7.8  22.6   1   1    0.0042      0.45    6.9  22.6   462   595   411   550   383   559 0.44 | transcript=PVX_091560.1 | gene=PVX_091560 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-RNA processing ribonucleoprotein, putative | transcript_product=pre-RNA processing ribonucleoprotein, putative | location=Pv_Sal1_chr09:612204-613886(+) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 4147at5820           -            788      0.35    7.2  11.9   1   1    0.0068      0.73    6.2  11.9   514   584    22    90    15   149 0.46 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089940.1-p1      -            311 4147at5820           -            788      0.41    7.0  21.3   1   1    0.0047       0.5    6.7  21.3   518   617    70   161    34   218 0.45 | transcript=PVX_089940.1 | gene=PVX_089940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:957535-958596(+) | protein_length=311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117960.1-p1      -           1669 4147at5820           -            788      0.41    7.0  28.8   1   1     0.013       1.4    5.2  28.8   502   589   985  1076   949  1118 0.43 | transcript=PVX_117960.1 | gene=PVX_117960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2285844-2291964(+) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123765.1-p1      -            193 4147at5820           -            788      0.55    6.6  20.0   1   1    0.0059      0.63    6.4  20.0   501   620    17   130     2   154 0.31 | transcript=PVX_123765.1 | gene=PVX_123765 | organism=Plasmodium_vivax_Sal-1 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=Pv_Sal1_chr14:1766204-1766785(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 4147at5820           -            788       0.6    6.5  18.0   1   1    0.0058      0.61    6.4  18.0   498   558    54   112     7   135 0.43 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118420.1-p1      -            504 4147at5820           -            788      0.63    6.4  37.9   1   2       6.6     7e+02   -3.7   0.6   313   313   172   172   130   207 0.49 | transcript=PVX_118420.1 | gene=PVX_118420 | organism=Plasmodium_vivax_Sal-1 | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=Pv_Sal1_chr12:2690711-2692225(-) | protein_length=504 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118420.1-p1      -            504 4147at5820           -            788      0.63    6.4  37.9   2   2   0.00011     0.012   12.1  30.7   503   575   432   503   405   504 0.63 | transcript=PVX_118420.1 | gene=PVX_118420 | organism=Plasmodium_vivax_Sal-1 | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=Pv_Sal1_chr12:2690711-2692225(-) | protein_length=504 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002770.1-p1      -            806 4147at5820           -            788      0.66    6.3  13.5   1   1     0.011       1.1    5.6  13.5   494   629   487   620   463   627 0.38 | transcript=PVX_002770.1 | gene=PVX_002770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:253971-256391(+) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 4147at5820           -            788      0.74    6.2  10.5   1   1    0.0075      0.79    6.1  10.5   551   569    14    32    10    57 0.29 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 4147at5820           -            788      0.83    6.0  69.7   1   2   1.9e-05    0.0021   14.6  43.1   516   618   249   348   234   365 0.34 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 4147at5820           -            788      0.83    6.0  69.7   2   2     0.012       1.3    5.3   9.4   533   565   442   472   423   521 0.48 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 4147at5820           -            788         1    5.7  33.5   1   1     0.014       1.5    5.1  33.5   487   605   145   267   113   290 0.44 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 4147at5820           -            788       1.2    5.5  21.1   1   1     0.012       1.2    5.4  21.1   521   615    14    87     1   113 0.30 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085990.1-p1      -            219 4147at5820           -            788       1.2    5.4   7.1   1   1     0.014       1.5    5.1   7.1   515   599    71   137    37   175 0.28 | transcript=PVX_085990.1 | gene=PVX_085990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1716344-1717362(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122175.1-p1      -            408 4147at5820           -            788       1.4    5.3  46.7   1   2       0.6        63   -0.2  17.5   497   681    18   199     6   222 0.63 | transcript=PVX_122175.1 | gene=PVX_122175 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:358025-359251(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
