#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094745.1-p1      -            188 12151at5820          -            140   1.1e-82  273.4   5.8   1   1   9.6e-82   4.9e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 12151at5820          -            140   0.00024   19.6  17.6   2   5      0.19        96    1.4   0.0    56    98  1214  1257  1202  1277 0.78 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 12151at5820          -            140   0.00024   19.6  17.6   3   5      0.24   1.2e+02    1.1   0.3    49    96  1461  1512  1447  1540 0.65 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 12151at5820          -            140   0.00024   19.6  17.6   4   5   4.6e-05     0.023   13.1   0.1    24    96  1567  1647  1556  1652 0.63 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 12151at5820          -            140   0.00024   19.6  17.6   5   5   0.00013     0.067   11.7   1.8    40   116  1656  1744  1648  1757 0.75 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 12151at5820          -            140   0.00026   19.5   0.0   1   1   1.2e-06   0.00061   18.3   0.0    38    93    78   134    42   144 0.85 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 12151at5820          -            140     0.002   16.6   2.6   1   2     5e-05     0.025   13.0   0.4    47    95    21    69    10    76 0.84 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 12151at5820          -            140     0.002   16.6   2.6   2   2     0.045        22    3.5   0.1    71    96   113   138    82   174 0.75 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 12151at5820          -            140     0.039   12.4   0.4   1   2      0.23   1.2e+02    1.2   0.0    67    95   856   884   841   904 0.63 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 12151at5820          -            140     0.039   12.4   0.4   2   2    0.0012      0.62    8.5   0.0    42    95  1200  1254  1192  1286 0.85 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:55 2026
# [ok]
