#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083030.1-p1      -            817 2337at5820           -            732         0 1514.2  15.2   1   1         0         0 1511.5  15.2     1   732     1   813     1   813 0.95 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   3   6      0.81   7.5e+02   -3.7   0.3   270   294   373   396   371   407 0.69 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   4   6     0.025        23    1.2   0.0   301   341   521   565   514   575 0.79 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   5   6   2.8e-16   2.6e-13   47.4   0.6   398   570   653   861   639   872 0.74 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   6   6    0.0011         1    5.7   0.0   596   624   913   941   901   951 0.91 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 2337at5820           -            732   4.4e-38  129.3   8.2   1   2     2e-36   1.9e-33  114.0   3.0    97   491   113   610    95   646 0.71 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 2337at5820           -            732   4.4e-38  129.3   8.2   2   2   1.7e-05     0.016   11.7   0.2   593   665   782   854   774   860 0.90 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2337at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
