#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089025.1-p1      -            322 7934at5820           -            173  4.7e-121  399.3  12.4   1   2  1.4e-117  1.7e-115  381.2   8.0     1   173    26   205    26   205 0.98 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 7934at5820           -            173   1.7e-20   71.9   6.2   1   4   2.6e-05    0.0031   15.7   0.0    82   118    35    71    30    74 0.91 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 7934at5820           -            173   1.7e-20   71.9   6.2   2   4   1.9e-08   2.2e-06   25.9   1.1    38   118    76   153    71   163 0.88 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 7934at5820           -            173   1.7e-20   71.9   6.2   3   4   3.2e-05    0.0038   15.4   0.0     8    71   173   233   166   240 0.81 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 7934at5820           -            173   1.7e-20   71.9   6.2   4   4   4.8e-05    0.0057   14.8   0.0    48   110   260   321   254   323 0.90 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 7934at5820           -            173   3.9e-20   70.7   7.2   1   4   3.7e-08   4.5e-06   25.0   0.0    41   133     8   102     3   106 0.92 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 7934at5820           -            173   3.9e-20   70.7   7.2   2   4   1.7e-13     2e-11   42.3   2.0    58   157    67   166    65   180 0.90 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 7934at5820           -            173   3.9e-20   70.7   7.2   3   4   1.2e-06   0.00014   20.0   0.2    34   136   240   347   226   373 0.76 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 7934at5820           -            173   3.9e-20   70.7   7.2   4   4         3   3.6e+02   -0.8   0.0    64    95   607   637   590   664 0.83 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 7934at5820           -            173   8.8e-20   69.6   3.8   1   3     2e-05    0.0024   16.1   0.1    58   144   229   319   174   331 0.74 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 7934at5820           -            173   8.8e-20   69.6   3.8   2   3     1e-14   1.2e-12   46.3   0.5    13   156   317   457   314   470 0.78 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 7934at5820           -            173   8.8e-20   69.6   3.8   3   3    0.0018      0.22    9.7   0.1    21    69   449   497   440   498 0.72 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 7934at5820           -            173   9.9e-20   69.4   4.0   1   3    0.0068      0.82    7.8   0.0    35   130     8   105     6   112 0.86 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 7934at5820           -            173   9.9e-20   69.4   4.0   2   3   1.6e-08   1.9e-06   26.2   0.0    11   113    71   172    67   180 0.79 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 7934at5820           -            173   9.9e-20   69.4   4.0   3   3     5e-13     6e-11   40.8   1.2    37   114   185   264   178   293 0.88 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 7934at5820           -            173   3.3e-19   67.7  15.8   1   3   8.6e-10     1e-07   30.3   0.8     9   112   377   477   371   486 0.88 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 7934at5820           -            173   3.3e-19   67.7  15.8   2   3   1.4e-13   1.7e-11   42.6   1.4    54   164   461   571   459   580 0.85 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 7934at5820           -            173   3.3e-19   67.7  15.8   3   3     8e-07   9.6e-05   20.6   0.8    11   116   505   607   505   622 0.88 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 7934at5820           -            173   2.2e-15   55.3  11.0   1   4       2.6   3.1e+02   -0.6   0.0   144   164    34    54    22    60 0.81 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 7934at5820           -            173   2.2e-15   55.3  11.0   2   4    0.0081      0.97    7.6   0.1    57   110   180   232   165   240 0.71 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 7934at5820           -            173   2.2e-15   55.3  11.0   3   4    0.0072      0.87    7.7   0.1    72   138   600   665   589   699 0.69 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 7934at5820           -            173   2.2e-15   55.3  11.0   4   4   1.8e-08   2.2e-06   25.9   0.3    37   123   850   937   837   979 0.76 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 7934at5820           -            173   5.1e-15   54.1   4.5   1   4    0.0018      0.22    9.7   0.0    76   114   315   354   311   364 0.84 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 7934at5820           -            173   5.1e-15   54.1   4.5   2   4   0.00011     0.014   13.6   0.0    37    76   362   401   357   436 0.83 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 7934at5820           -            173   5.1e-15   54.1   4.5   3   4   0.00029     0.035   12.3   0.1    63   138   430   508   418   523 0.54 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 7934at5820           -            173   5.1e-15   54.1   4.5   4   4   2.1e-05    0.0026   16.0   0.8    34   112   531   612   516   612 0.84 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 7934at5820           -            173   9.8e-15   53.1  10.4   1   4      0.38        45    2.1   0.0    89   134   248   298   218   330 0.70 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 7934at5820           -            173   9.8e-15   53.1  10.4   2   4   1.6e-10   1.9e-08   32.7   0.1    38   170   427   561   414   564 0.89 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 7934at5820           -            173   9.8e-15   53.1  10.4   3   4   4.1e-09   4.9e-07   28.1   0.6    40   162   471   596   469   605 0.81 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 7934at5820           -            173   9.8e-15   53.1  10.4   4   4   6.2e-05    0.0075   14.5   0.5    54   113   572   631   563   641 0.89 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 7934at5820           -            173     2e-14   52.2  13.3   1   4     0.015       1.8    6.7   0.1    81   116    10    45     2    58 0.78 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 7934at5820           -            173     2e-14   52.2  13.3   2   4   8.1e-07   9.7e-05   20.6   0.3    37   111    82   159    41   167 0.79 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 7934at5820           -            173     2e-14   52.2  13.3   3   4   3.8e-09   4.6e-07   28.2   0.9    38   119   244   328   238   341 0.83 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 7934at5820           -            173     2e-14   52.2  13.3   4   4      0.17        21    3.3   0.2    57   112   628   690   600   693 0.66 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 7934at5820           -            173   2.3e-12   45.4   0.7   1   3   5.6e-06   0.00067   17.9   0.1    35   112    59   137    42   141 0.91 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 7934at5820           -            173   2.3e-12   45.4   0.7   2   3      0.16        20    3.3   0.0    59   112   228   280   203   295 0.80 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 7934at5820           -            173   2.3e-12   45.4   0.7   3   3   6.6e-07   7.9e-05   20.9   0.0    10   115   307   411   298   418 0.72 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 7934at5820           -            173   1.4e-11   42.8   1.4   1   3       2.3   2.8e+02   -0.4   0.0    62    87   357   382   334   389 0.82 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 7934at5820           -            173   1.4e-11   42.8   1.4   2   3   1.7e-08     2e-06   26.1   1.2     6   115   386   496   381   522 0.88 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 7934at5820           -            173   1.4e-11   42.8   1.4   3   3   9.8e-06    0.0012   17.1   0.0    16   113   484   579   481   584 0.85 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 7934at5820           -            173   1.5e-11   42.8   5.6   1   4      0.34        41    2.3   0.0    57    85   331   359   319   368 0.85 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 7934at5820           -            173   1.5e-11   42.8   5.6   2   4      0.19        23    3.1   0.1    41    96   372   428   363   437 0.77 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 7934at5820           -            173   1.5e-11   42.8   5.6   3   4   6.4e-11   7.7e-09   33.9   2.1    32   115   406   496   383   508 0.75 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 7934at5820           -            173   1.5e-11   42.8   5.6   4   4     0.083        10    4.3   0.0    48   105   556   618   535   630 0.71 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 7934at5820           -            173     2e-11   42.4  13.2   1   3   1.1e-09   1.3e-07   29.9   3.6    36   152   908  1025   894  1038 0.85 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
