#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084705.1-p1      -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 2259at5820           -            765   1.1e-22   78.5  21.4   1   5   3.1e-12     3e-10   37.3   1.0   134   265  1922  2063  1879  2076 0.79 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 2259at5820           -            765   1.1e-22   78.5  21.4   2   5   0.00066     0.063    9.8   0.4   394   476  2206  2296  2183  2319 0.68 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 2259at5820           -            765   1.1e-22   78.5  21.4   3   5    0.0022      0.21    8.1   2.8    18    93  2323  2401  2306  2408 0.77 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 2259at5820           -            765   1.1e-22   78.5  21.4   4   5     0.024       2.3    4.6   0.0   439   476  2433  2472  2417  2493 0.82 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 2259at5820           -            765   1.1e-22   78.5  21.4   5   5   2.9e-09   2.8e-07   27.5   0.0   117   234  3046  3173  3022  3186 0.65 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 2259at5820           -            765     2e-22   77.5   0.3   1   1   3.2e-24     3e-22   77.0   0.3   513   674  1721  1903  1697  1918 0.75 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 2259at5820           -            765   6.3e-22   75.9   0.7   1   1     8e-24   7.6e-22   75.7   0.7   514   715    33   248     6   266 0.78 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 2259at5820           -            765   2.4e-21   74.0   0.8   1   2     1e-13   9.6e-12   42.3   0.5   541   626    95   186    25   196 0.80 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 2259at5820           -            765   2.4e-21   74.0   0.8   2   2   6.4e-10   6.1e-08   29.7   0.0   625   718   340   431   323   446 0.91 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 2259at5820           -            765   2.7e-20   70.5   0.3   1   1   4.7e-22   4.4e-20   69.8   0.3   541   717  1243  1429  1186  1448 0.79 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 2259at5820           -            765   1.3e-18   65.0   3.5   1   1   2.9e-20   2.8e-18   63.9   3.5   493   712   100   346    67   355 0.73 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 2259at5820           -            765   3.4e-18   63.6   0.3   1   2       3.7   3.6e+02   -2.6   0.0   506   527    14    35    11    50 0.71 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 2259at5820           -            765   3.4e-18   63.6   0.3   2   2   6.8e-20   6.5e-18   62.7   0.1   574   694   115   240    93   249 0.86 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 2259at5820           -            765   9.7e-18   62.1   0.5   1   1   4.6e-19   4.4e-17   59.9   0.5   534   709   169   379   125   392 0.78 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2259at5820           -            765   6.9e-17   59.3   0.0   1   1   9.1e-19   8.7e-17   58.9   0.0   574   686    97   218     8   230 0.79 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 2259at5820           -            765   1.5e-16   58.2   2.5   1   2   1.7e-07   1.6e-05   21.6   1.1   505   615   560   694   550   704 0.68 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 2259at5820           -            765   1.5e-16   58.2   2.5   2   2   1.1e-11   1.1e-09   35.5   0.0   602   683   706   791   695   838 0.81 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 2259at5820           -            765   1.7e-16   58.0   0.2   1   1     6e-18   5.8e-16   56.2   0.2   573   685   217   337    91   355 0.87 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 2259at5820           -            765   1.2e-15   55.2   0.1   1   2         3   2.9e+02   -2.3   0.1   600   606    83    89    23   129 0.47 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 2259at5820           -            765   1.2e-15   55.2   0.1   2   2   2.7e-17   2.6e-15   54.0   0.0   584   693   154   269   145   279 0.87 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 2259at5820           -            765   8.7e-15   52.3   0.9   1   2     0.082       7.8    2.9   0.1   485   530    13    59     5    98 0.69 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 2259at5820           -            765   8.7e-15   52.3   0.9   2   2   1.5e-15   1.4e-13   48.3   0.1   585   678   143   246   131   292 0.75 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2259at5820           -            765   1.1e-14   51.9   0.1   1   1   1.7e-16   1.7e-14   51.4   0.1   531   672   813   965   795   978 0.83 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 2259at5820           -            765   2.9e-14   50.6   1.6   1   1   3.8e-16   3.7e-14   50.3   1.6   507   686    49   253    20   270 0.74 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 2259at5820           -            765   4.2e-14   50.1   1.1   1   2   1.6e-08   1.5e-06   25.1   0.4   551   611   337   400   292   414 0.77 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 2259at5820           -            765   4.2e-14   50.1   1.1   2   2     5e-08   4.8e-06   23.4   0.0   625   671   526   574   520   631 0.74 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 2259at5820           -            765   4.4e-14   50.0   1.7   1   1     6e-16   5.7e-14   49.6   1.7   507   686    49   253    21   270 0.73 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 2259at5820           -            765   4.6e-14   49.9   0.2   1   1     7e-16   6.7e-14   49.4   0.2   540   685    75   239    18   257 0.78 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 2259at5820           -            765   8.6e-14   49.0   0.2   1   1   1.3e-15   1.2e-13   48.5   0.2   574   681   365   481   271   519 0.81 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2259at5820           -            765   1.7e-13   48.1   0.0   1   1   2.4e-15   2.3e-13   47.6   0.0   526   681    73   250    36   271 0.77 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 2259at5820           -            765   5.3e-13   46.4   1.8   1   2     3e-11   2.9e-09   34.1   3.1   493   625   164   321   152   326 0.64 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 2259at5820           -            765   5.3e-13   46.4   1.8   2   2    0.0022      0.21    8.1   0.0   625   665   352   393   348   411 0.82 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 2259at5820           -            765   1.1e-12   45.4   1.0   1   2     0.011         1    5.8   0.1   500   532   459   491   446   499 0.90 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 2259at5820           -            765   1.1e-12   45.4   1.0   2   2   2.1e-12     2e-10   37.9   0.1   553   717   592   766   587   789 0.75 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 2259at5820           -            765   3.8e-12   43.6   0.0   1   1   6.2e-14   5.9e-12   42.9   0.0   586   682   865   970   847   978 0.80 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 2259at5820           -            765   3.9e-12   43.5   0.2   1   1   5.6e-14   5.3e-12   43.1   0.2   506   686   463   670   452   706 0.67 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
