#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081420.1-p1      -            168 12840at5820          -            154  2.1e-101  334.7  17.9   1   1  8.8e-104  2.4e-101  334.5  17.9     1   154    15   168    15   168 1.00 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12840at5820          -            154   1.8e-05   23.2  12.1   2   3      0.58   1.6e+02    0.6   0.1     7    59    62   114    56   125 0.81 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12840at5820          -            154   1.8e-05   23.2  12.1   3   3   0.00019     0.053   11.9   2.0    64   131   148   215   131   233 0.89 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12840at5820          -            154     3e-05   22.4   2.6   1   1   1.7e-07   4.8e-05   21.8   2.5    48   144    55   151    18   157 0.86 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 12840at5820          -            154   0.00012   20.5   0.1   1   1   6.1e-07   0.00017   20.0   0.1    25   144    19   133     2   138 0.74 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081722.1-p1      -            131 12840at5820          -            154   0.00029   19.2   0.1   1   1   1.5e-06    0.0004   18.8   0.1    11   145     5   129     1   131 0.84 | transcript=PVX_081722.1 | gene=PVX_081722 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:605000-606127(-) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085540.1-p1      -            136 12840at5820          -            154    0.0007   18.0   1.1   1   1   3.5e-05    0.0097   14.3   1.1    15   144     8   130     4   134 0.80 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 12840at5820          -            154       6.4    5.1  12.8   1   3       7.1     2e+03   -3.0   0.0    56    73   559   576   535   628 0.65 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 12840at5820          -            154       6.4    5.1  12.8   2   3     0.003      0.82    8.0   0.2    91   128   650   687   638   695 0.84 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 12840at5820          -            154       6.4    5.1  12.8   3   3      0.83   2.3e+02    0.1   4.2    97   146   801   850   701   858 0.63 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12840at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12840at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12840at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:00 2026
# [ok]
