#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   1  12  6.3e-136  3.5e-132  440.7  58.1     6   274    41   341    38   355 0.88 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1  12  12   1.3e-84   7.3e-81  270.4  23.3  1861  2020  2753  2926  2749  2926 0.92 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/303at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/303at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/303at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:03 2026
# [ok]
