#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080610.1-p1      -            200 12020at5820          -            161  1.1e-103  342.2  19.9   1   1  1.9e-105  5.7e-103  339.9  19.9     1   161    30   200    30   200 0.97 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 12020at5820          -            161   9.8e-21   72.5   6.4   2   2   3.4e-23   9.8e-21   72.5   6.4    28   147   102   223    93   245 0.86 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 12020at5820          -            161   7.5e-20   69.6   0.0   1   1   3.4e-22     1e-19   69.2   0.0     6   146    36   173    32   206 0.91 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 12020at5820          -            161   8.6e-09   33.7   1.0   1   1   3.3e-11   9.7e-09   33.5   1.0    17   104    52   138    41   178 0.77 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 12020at5820          -            161   2.4e-08   32.3   0.1   1   1   1.1e-10   3.3e-08   31.8   0.1    11   101    48   135    40   159 0.82 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 12020at5820          -            161   3.3e-06   25.3   0.9   1   1   1.8e-08   5.1e-06   24.7   0.9    13   102    47   135    38   153 0.78 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 12020at5820          -            161     5e-06   24.7   3.0   1   5     0.051        15    3.7   0.0    52   100     8    54     2    73 0.72 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 12020at5820          -            161     5e-06   24.7   3.0   2   5     0.032       9.2    4.3   0.0    48   100    80   130    70   146 0.71 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 12020at5820          -            161     5e-06   24.7   3.0   3   5     0.031         9    4.4   0.0    47   100   155   206   145   222 0.72 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 12020at5820          -            161     5e-06   24.7   3.0   4   5     0.029       8.5    4.5   0.0    47   100   231   282   220   301 0.73 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 12020at5820          -            161     5e-06   24.7   3.0   5   5     0.033       9.7    4.3   0.0    48    99   308   357   298   372 0.71 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 12020at5820          -            161   4.7e-05   21.6   0.0   1   1   2.2e-07   6.3e-05   21.1   0.0    28    96    64   133    55   157 0.84 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 12020at5820          -            161   0.00057   18.0   0.0   1   1   4.7e-06    0.0014   16.8   0.0    24    78   152   206   145   215 0.89 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083300.1-p1      -            224 12020at5820          -            161    0.0025   16.0   1.0   1   2       1.7     5e+02   -1.3   0.0   102   129    40    67    29    85 0.72 | transcript=PVX_083300.1 | gene=PVX_083300 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr12:233641-235773(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083300.1-p1      -            224 12020at5820          -            161    0.0025   16.0   1.0   2   2   1.7e-05    0.0049   15.0   0.2    51   144   110   207   100   216 0.80 | transcript=PVX_083300.1 | gene=PVX_083300 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr12:233641-235773(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12020at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12020at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12020at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:19 2026
# [ok]
