#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084595.1-p1      -           1342 1998at5820           -            769         0 1454.5  65.8   1   5   1.8e-54   1.2e-51  173.9   7.9     1   104     1   104     1   111 0.93 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1998at5820           -            769   5.1e-63  211.6   6.8   1   2   2.1e-07   0.00014   18.3   0.8    95   273   254   435   200   445 0.76 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1998at5820           -            769   5.1e-63  211.6   6.8   2   2   6.9e-61   4.8e-58  195.1   0.7   406   745   551   914   536   930 0.75 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1998at5820           -            769   2.5e-58  196.0   5.3   1   2    0.0018       1.3    5.2   0.3   111   229   173   298   163   389 0.74 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1998at5820           -            769   2.5e-58  196.0   5.3   2   2   6.1e-60   4.2e-57  192.0   1.9   352   674   377   714   345   755 0.81 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1998at5820           -            769   7.2e-52  174.7   0.3   1   3      0.27   1.9e+02   -2.0   0.0   150   184   199   233   195   239 0.83 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1998at5820           -            769   7.2e-52  174.7   0.3   2   3   1.1e-48   7.8e-46  154.7   0.0   362   582   389   608   355   620 0.91 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1998at5820           -            769   7.2e-52  174.7   0.3   3   3   5.2e-07   0.00036   17.0   0.0   605   666   709   772   703   795 0.84 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   1   6      0.71   4.9e+02   -3.3   2.1     4    30    43    69    10   150 0.57 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   2   6    0.0067       4.6    3.4   2.7   142   196   332   386   293   405 0.81 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   3   6     0.055        38    0.4   0.1   201   233   494   525   486   555 0.81 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   4   6     0.059        41    0.2   0.0   369   399   725   757   706   775 0.78 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   5   6   2.9e-34     2e-31  107.1   8.6   403   576   874  1048   867  1054 0.85 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1998at5820           -            769   8.7e-32  108.3  11.9   6   6   1.8e-05     0.012   11.9   0.1   591   664  1151  1220  1136  1242 0.83 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1998at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1998at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1998at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:43 2026
# [ok]
