#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090865.1-p1      -            491 5577at5820           -            435  4.9e-261  864.6  20.8   1   2  2.2e-153  1.7e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 5577at5820           -            435   6.3e-19   66.8  23.1   2   2   4.7e-18   3.7e-15   54.4  16.6    93   434   266   600   238   600 0.76 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 5577at5820           -            435   3.3e-13   48.0   0.1   1   3      0.26     2e+02   -0.8   0.0     6    40     4    38     2    65 0.87 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 5577at5820           -            435   3.3e-13   48.0   0.1   2   3   2.2e-14   1.7e-11   42.3   0.1    97   246    83   235    70   242 0.83 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 5577at5820           -            435   3.3e-13   48.0   0.1   3   3     0.036        29    2.0   0.0   347   427   285   367   264   374 0.74 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5577at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:22 2026
# [ok]
