#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002945.1-p1      -           1029 2944at5820           -            483  2.2e-250  829.9  35.1   1   3   3.7e-69   4.1e-67  225.5   9.8     4   131     9   141     4   157 0.93 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 2944at5820           -            483   5.2e-22   76.7   2.8   1   1     6e-24   6.5e-22   76.4   2.8   254   457     7   219     1   236 0.79 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 2944at5820           -            483   2.7e-21   74.4   3.8   1   1   3.7e-23   4.1e-21   73.8   3.8   247   439   106   307    71   343 0.84 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 2944at5820           -            483   5.9e-21   73.3   0.7   1   1     1e-22   1.1e-20   72.3   0.7   243   440   421   629   381   645 0.80 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 2944at5820           -            483   1.3e-20   72.1   0.9   1   1   1.7e-22   1.9e-20   71.6   0.9   254   440    15   214     8   225 0.76 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 2944at5820           -            483   1.7e-19   68.5   2.5   1   2       1.4   1.5e+02   -0.7   0.2   275   337   398   465   363   470 0.77 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 2944at5820           -            483   1.7e-19   68.5   2.5   2   2   1.9e-21   2.1e-19   68.1   0.2   239   447   530   747   505   754 0.81 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 2944at5820           -            483   1.9e-19   68.3   2.0   1   1   3.2e-21   3.4e-19   67.4   2.0   256   444  1192  1392  1168  1402 0.83 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 2944at5820           -            483   2.2e-19   68.1   2.1   1   1   2.5e-21   2.7e-19   67.8   2.1   238   457    20   247     1   266 0.79 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 2944at5820           -            483   2.6e-19   67.8   2.2   1   1   3.9e-21   4.3e-19   67.1   2.2   287   450  1743  1912  1721  1937 0.84 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 2944at5820           -            483     3e-19   67.6  11.0   1   1   3.5e-21   3.8e-19   67.3  11.0   242   444    13   227     5   268 0.83 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 2944at5820           -            483   2.7e-18   64.5   2.6   1   1   3.8e-20   4.1e-18   63.9   2.6   250   449     8   229     4   235 0.72 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114305.1-p1      -           2213 2944at5820           -            483   3.4e-18   64.1   4.0   1   2       4.9   5.3e+02   -2.5   0.2   241   271   919   949   914   954 0.88 | transcript=PVX_114305.1 | gene=PVX_114305 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr11:1080139-1086780(+) | protein_length=2213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114305.1-p1      -           2213 2944at5820           -            483   3.4e-18   64.1   4.0   2   2   3.2e-20   3.4e-18   64.1   4.0   279   447  1988  2160  1975  2170 0.82 | transcript=PVX_114305.1 | gene=PVX_114305 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr11:1080139-1086780(+) | protein_length=2213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 2944at5820           -            483   1.1e-17   62.5   0.4   1   1   1.6e-19   1.7e-17   61.8   0.4   256   438   163   355   133   371 0.81 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 2944at5820           -            483     2e-17   61.6   4.2   1   1   3.2e-19   3.5e-17   60.8   4.2   252   452   268   487   261   491 0.76 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2944at5820           -            483   3.5e-16   57.5  17.3   1   5    0.0014      0.15    9.2   1.0     7    44    37    74    16    84 0.71 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2944at5820           -            483   3.5e-16   57.5  17.3   2   5       2.1   2.3e+02   -1.2   0.8   162   213   282   334   250   385 0.66 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2944at5820           -            483   3.5e-16   57.5  17.3   3   5    0.0029      0.31    8.2   0.1   275   332   800   863   784   867 0.79 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2944at5820           -            483   3.5e-16   57.5  17.3   4   5   3.3e-05    0.0035   14.6   0.1   335   391  1082  1138  1052  1153 0.89 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2944at5820           -            483   3.5e-16   57.5  17.3   5   5   5.1e-11   5.5e-09   33.8   0.0   403   473  1222  1304  1218  1310 0.79 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2944at5820           -            483   3.7e-16   57.4  19.6   1   5    0.0069      0.75    7.0  11.7    10   118    41   144    36   174 0.78 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2944at5820           -            483   3.7e-16   57.4  19.6   2   5     0.014       1.5    5.9   0.1   152   217   520   588   516   657 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2944at5820           -            483   3.7e-16   57.4  19.6   3   5     0.001      0.11    9.7   0.0   285   329   823   871   810   878 0.71 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2944at5820           -            483   3.7e-16   57.4  19.6   4   5   7.5e-06   0.00081   16.7   0.0   341   386   907   953   901   964 0.87 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2944at5820           -            483   3.7e-16   57.4  19.6   5   5     2e-06   0.00022   18.6   0.0   404   438  1064  1098  1047  1139 0.84 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2944at5820           -            483   3.8e-15   54.1   0.1   1   1   4.6e-17     5e-15   53.7   0.1   250   435     3   198     1   212 0.78 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101265.1-p1      -            730 2944at5820           -            483   5.5e-15   53.6  11.2   1   1   1.3e-16   1.4e-14   52.3  11.2   242   457    15   261     1   300 0.73 | transcript=PVX_101265.1 | gene=PVX_101265 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin g-associated kinase, putative | transcript_product=cyclin g-associated kinase, putative | location=Pv_Sal1_chr14:2759960-2762152(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 2944at5820           -            483   1.1e-14   52.5   0.1   1   1   1.5e-16   1.6e-14   52.0   0.1   322   469   127   280    28   285 0.77 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 2944at5820           -            483   1.2e-14   52.5   2.3   1   1   1.5e-16   1.6e-14   52.0   2.3   252   433   120   317   103   339 0.74 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 2944at5820           -            483   2.3e-14   51.5   7.5   1   2       3.3   3.6e+02   -1.9   0.0   257   283    14    40     7    51 0.69 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 2944at5820           -            483   2.3e-14   51.5   7.5   2   2   2.1e-16   2.3e-14   51.5   7.5   241   443   100   314    76   325 0.81 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 2944at5820           -            483   3.7e-14   50.8   4.9   1   2   1.9e-06   0.00021   18.7   0.8   314   379   933   997   919  1012 0.83 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 2944at5820           -            483   3.7e-14   50.8   4.9   2   2     7e-11   7.6e-09   33.3   0.2   378   442  1083  1147  1073  1175 0.82 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 2944at5820           -            483   6.5e-14   50.0  14.2   1   3   1.3e-05    0.0014   15.9   3.4   234   335   170   269   146   280 0.77 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 2944at5820           -            483   6.5e-14   50.0  14.2   2   3   1.1e-12   1.2e-10   39.3   0.1   346   446   353   458   338   483 0.84 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 2944at5820           -            483   6.5e-14   50.0  14.2   3   3      0.68        73    0.4   0.5   101   129  1480  1511  1468  1526 0.77 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 2944at5820           -            483   1.1e-13   49.2   7.4   1   2   1.1e-15   1.1e-13   49.2   7.4   269   441   547   724   409   733 0.79 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 2944at5820           -            483   1.1e-13   49.2   7.4   2   2       7.3   7.9e+02   -3.0   1.2   234   293  1457  1513  1426  1519 0.66 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 2944at5820           -            483   1.6e-13   48.7   0.8   1   1   2.3e-15   2.5e-13   48.1   0.8   247   438    18   224     5   245 0.67 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 2944at5820           -            483   1.7e-13   48.7   0.6   1   1   2.3e-15   2.5e-13   48.1   0.6   254   440  1342  1551  1315  1560 0.81 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 2944at5820           -            483   1.1e-12   46.0   4.7   1   2   9.2e-08     1e-05   23.0   2.1   285   375   254   344   239   353 0.72 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 2944at5820           -            483   1.1e-12   46.0   4.7   2   2     8e-08   8.7e-06   23.2   0.0   380   438   397   459   391   468 0.85 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2944at5820           -            483   5.7e-12   43.6   0.1   1   2   1.1e-13   1.2e-11   42.6   0.1   285   440    73   242    16   254 0.72 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2944at5820           -            483   5.7e-12   43.6   0.1   2   2       5.2   5.6e+02   -2.5   0.0   444   470   269   295   250   297 0.83 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 2944at5820           -            483   9.2e-12   42.9   4.5   1   1   6.4e-13     7e-11   40.0   4.5   221   441    88   344    34   362 0.69 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
