#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086025.1-p1      -           1103 1979at5820           -            957         0 1944.9 105.8   1   4         0         0 1500.0  60.1     1   694     1   715     1   722 0.98 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   5   6   1.6e-10     3e-07   27.1   0.0   702   749   950   997   941  1017 0.83 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   6   6         3   5.5e+03  -13.1  11.5   784   815  1118  1147  1098  1167 0.50 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1979at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1979at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1979at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:35 2026
# [ok]
