#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   1   5   8.8e-18   1.2e-14   51.9   3.2    18    69    67   121    54   124 0.85 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3536at5820           -            688   8.3e-38  128.5  67.2   2   2    0.0021       2.9    4.4   1.6   615   668   686   740   671   763 0.75 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3536at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:19 2026
# [ok]
