#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   1   8  5.6e-101   7.8e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 1791at5820           -            805   1.1e-32  111.4  19.4   4   4   1.5e-06    0.0021   14.6   7.4   668   768   281   378   272   421 0.79 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094605.1-p1      -            407 1791at5820           -            805   3.7e-16   56.8  19.2   1   2   9.1e-05      0.13    8.7   3.5    20    98    25   102     1   138 0.74 | transcript=PVX_094605.1 | gene=PVX_094605 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease, putative | transcript_product=endonuclease, putative | location=Pv_Sal1_chr08:388626-389849(-) | protein_length=407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094605.1-p1      -            407 1791at5820           -            805   3.7e-16   56.8  19.2   2   2   1.7e-18   2.3e-15   54.2   7.8   507   635   233   359   204   392 0.86 | transcript=PVX_094605.1 | gene=PVX_094605 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease, putative | transcript_product=endonuclease, putative | location=Pv_Sal1_chr08:388626-389849(-) | protein_length=407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 1791at5820           -            805   1.1e-09   35.4  11.1   1   3   1.3e-05     0.018   11.5   1.2    71   139    71   135    57   158 0.78 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 1791at5820           -            805   1.1e-09   35.4  11.1   2   3   1.4e-08   1.9e-05   21.3   0.8   513   570   156   213   141   225 0.81 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 1791at5820           -            805   1.1e-09   35.4  11.1   3   3   0.00019      0.27    7.6   0.1   598   637   344   385   331   456 0.72 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1791at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:40 2026
# [ok]
