#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   1   7     2e-99   3.6e-96  321.7   0.0    21   215   219   419   213   435 0.95 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2069at5820           -            719   0.00025   18.1  25.7   1   5     2e-05     0.036   11.0   1.8    73   212   158   291   149   327 0.87 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2069at5820           -            719   0.00025   18.1  25.7   2   5       0.7   1.3e+03   -4.1   0.0   345   362   603   620   595   621 0.83 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2069at5820           -            719   0.00025   18.1  25.7   3   5     0.023        42    0.8   0.1   398   432   709   743   693   791 0.67 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2069at5820           -            719   0.00025   18.1  25.7   4   5    0.0033         6    3.6   0.3   482   540   919   977   911   983 0.92 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2069at5820           -            719   0.00025   18.1  25.7   5   5   5.2e-07   0.00096   16.2   3.6   573   651  1098  1180  1073  1202 0.73 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2069at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:55 2026
# [ok]
