#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084235.1-p1      -            147 14117at5820          -            146  5.6e-104  342.6   2.0   1   1  1.6e-106  6.2e-104  342.4   2.0     1   146     1   147     1   147 0.99 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119410.1-p1      -            139 14117at5820          -            146   4.3e-08   31.5   0.0   1   1   1.2e-10   4.9e-08   31.3   0.0    27   107    35   120     6   135 0.78 | transcript=PVX_119410.1 | gene=PVX_119410 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:1482131-1482984(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 14117at5820          -            146   0.00082   17.6   0.0   1   1   3.8e-06    0.0015   16.8   0.0    12   104   179   273   170   313 0.78 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14117at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:30 2026
# [ok]
