#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114340.1-p1      -           2946 313at5820            -           2082         0 3981.4 294.4   1   5         0         0 1886.7 110.6     1   914     1   998     1  1025 0.87 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 313at5820            -           2082   1.4e-83  279.4   9.7   7   7       1.7   6.9e+02   -4.8   3.5  1831  1862  1144  1175  1026  1280 0.50 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 313at5820            -           2082   4.3e-66  221.4   7.5   1   4      0.37   1.5e+02   -2.6   9.5  1765  1885    83   200    31   253 0.76 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 313at5820            -           2082   4.3e-66  221.4   7.5   2   4      0.38   1.5e+02   -2.6   2.9   833   890   295   347   267   374 0.56 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 313at5820            -           2082   4.3e-66  221.4   7.5   3   4   1.6e-35   6.4e-33  111.4   0.8   328   513   546   730   528   759 0.87 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 313at5820            -           2082   4.3e-66  221.4   7.5   4   4   3.1e-39   1.2e-36  123.7   1.0   920  1057  1411  1547  1398  1555 0.93 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 313at5820            -           2082   5.6e-61  204.4   5.1   1   5   5.1e-30     2e-27   93.1   0.2   329   521  1375  1577  1366  1593 0.81 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 313at5820            -           2082   5.6e-61  204.4   5.1   2   5     0.012       4.6    2.4   0.2   548   645  1572  1673  1565  1681 0.79 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 313at5820            -           2082   5.6e-61  204.4   5.1   3   5   2.5e-39     1e-36  124.0   1.0   923  1061  1709  1847  1680  1932 0.94 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 313at5820            -           2082   5.6e-61  204.4   5.1   4   5       0.6   2.4e+02   -3.3   1.9   808   848  2313  2353  2310  2407 0.46 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 313at5820            -           2082   5.6e-61  204.4   5.1   5   5       5.2     2e+03   -6.4   6.8   845   916  2939  3012  2923  3027 0.38 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 313at5820            -           2082   3.3e-57  191.9  24.1   1   4       1.9   7.5e+02   -4.9  12.2   824   899   114   192   106   200 0.52 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 313at5820            -           2082   3.3e-57  191.9  24.1   2   4   3.8e-33   1.5e-30  103.5  19.0   275   541   168   443   138   473 0.80 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 313at5820            -           2082   3.3e-57  191.9  24.1   3   4      0.19        75   -1.6   0.3   534   613   502   582   488   590 0.65 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 313at5820            -           2082   3.3e-57  191.9  24.1   4   4   3.1e-32   1.2e-29  100.5   0.2   950  1055   975  1079   968  1100 0.93 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 313at5820            -           2082   3.7e-53  178.5  20.3   1   5   3.1e-36   1.2e-33  113.8   0.0   325   529   687   904   642   917 0.83 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 313at5820            -           2082   3.7e-53  178.5  20.3   2   5      0.33   1.3e+02   -2.4   0.0   573   645   923  1000   902  1016 0.71 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 313at5820            -           2082   3.7e-53  178.5  20.3   3   5   2.2e-05    0.0087   11.4   0.2   925   973  1035  1083  1005  1086 0.91 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 313at5820            -           2082   3.7e-53  178.5  20.3   4   5     7e-22   2.8e-19   66.1   0.0   978  1111  1122  1250  1111  1284 0.84 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 313at5820            -           2082   3.7e-53  178.5  20.3   5   5       3.2   1.3e+03   -5.7   6.5   821   862  1498  1539  1482  1559 0.59 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 313at5820            -           2082   9.1e-45  150.6  12.2   1   4   3.5e-28   1.4e-25   87.0   0.4   297   537    92   343    79   353 0.79 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 313at5820            -           2082   9.1e-45  150.6  12.2   2   4     0.028        11    1.2   0.3   566   645   347   429   339   440 0.77 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 313at5820            -           2082   9.1e-45  150.6  12.2   3   4   5.1e-25     2e-22   76.6   6.1   920  1076   540   697   435   730 0.73 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 313at5820            -           2082   9.1e-45  150.6  12.2   4   4      0.21        84   -1.8  35.9   820   915   839   936   824   950 0.46 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 313at5820            -           2082   4.7e-36  121.8   9.9   1   4     2e-08   7.7e-06   21.5   0.0   330   379   225   276   127   279 0.91 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 313at5820            -           2082   4.7e-36  121.8   9.9   2   4      0.11        42   -0.8   0.0   373   440   366   429   363   442 0.68 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 313at5820            -           2082   4.7e-36  121.8   9.9   3   4   4.5e-11   1.8e-08   30.3   0.0   453   506   964  1018   948  1045 0.88 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 313at5820            -           2082   4.7e-36  121.8   9.9   4   4   4.3e-23   1.7e-20   70.2   3.8   843  1049  1342  1560  1301  1578 0.71 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 313at5820            -           2082     8e-31  104.4   6.3   1   2   1.9e-15   7.6e-13   44.8   0.1   329   519   313   490   267   503 0.83 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 313at5820            -           2082     8e-31  104.4   6.3   2   2   1.3e-20     5e-18   62.0   0.5   926  1041   634   749   629   776 0.92 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 313at5820            -           2082   3.6e-22   75.7   8.4   1   5         2   7.7e+02   -5.0   2.4  1530  1573   156   212   143   265 0.53 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 313at5820            -           2082   3.6e-22   75.7   8.4   2   5   7.6e-05      0.03    9.6   0.0   350   375   724   749   721   756 0.87 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 313at5820            -           2082   3.6e-22   75.7   8.4   3   5      0.75     3e+02   -3.6   0.0   378   411   780   815   775   845 0.68 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 313at5820            -           2082   3.6e-22   75.7   8.4   4   5   1.8e-07     7e-05   18.4   0.0   453   507   962  1016   957  1142 0.83 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 313at5820            -           2082   3.6e-22   75.7   8.4   5   5   4.3e-17   1.7e-14   50.2   0.0   979  1045  1417  1483  1411  1518 0.87 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092695.1-p1      -            426 313at5820            -           2082   7.7e-05   18.2  10.7   1   3   1.9e-07   7.7e-05   18.2  10.7    51   120    55   120    33   140 0.66 | transcript=PVX_092695.1 | gene=PVX_092695 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1648469-1650677(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092695.1-p1      -            426 313at5820            -           2082   7.7e-05   18.2  10.7   2   3     0.075        30   -0.3   0.9   853   905   137   189   127   220 0.76 | transcript=PVX_092695.1 | gene=PVX_092695 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1648469-1650677(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092695.1-p1      -            426 313at5820            -           2082   7.7e-05   18.2  10.7   3   3       4.1   1.6e+03   -6.1  33.4   808   868   348   411   317   421 0.52 | transcript=PVX_092695.1 | gene=PVX_092695 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1648469-1650677(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 313at5820            -           2082    0.0082   11.5   2.8   1   1   2.9e-05     0.011   11.0   2.8   820   938   490   612   481   619 0.46 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 313at5820            -           2082    0.0085   11.5   7.2   1   1   2.2e-05    0.0087   11.4   7.2   806   900    30   125    10   202 0.53 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 313at5820            -           2082       0.4    5.9  22.9   1   1    0.0016      0.65    5.2  22.9   821   880   516   573   499   599 0.55 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/313at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/313at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/313at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:53 2026
# [ok]
