#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114960.1-p1      -            203 11829at5820          -            162   3.4e-97  321.0  14.9   1   1   2.1e-99   9.8e-97  319.5  14.9     1   162    25   203    25   203 0.96 | transcript=PVX_114960.1 | gene=PVX_114960 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr11:460097-461140(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003600.1-p1      -            229 11829at5820          -            162    0.0039   15.1   4.4   2   2    0.0035       1.6    6.7   0.2    92   134   166   211   134   224 0.70 | transcript=PVX_003600.1 | gene=PVX_003600 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=Pv_Sal1_chr04:743854-744543(-) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 11829at5820          -            162    0.0043   15.0   0.1   1   1   1.8e-05    0.0082   14.1   0.1     3    88    13    94    11   130 0.75 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:48 2026
# [ok]
