#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098975.1-p1      -            599 4838at5820           -            434  8.6e-236  780.9  15.1   1   3  3.6e-102   2.5e-99  331.3   3.8     1   180    13   199    13   215 0.98 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 4838at5820           -            434   3.8e-05   20.9   1.8   1   2      0.97   6.7e+02   -2.9   0.1   181   229   444   488   427   527 0.52 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 4838at5820           -            434   3.8e-05   20.9   1.8   2   2   5.6e-08   3.8e-05   20.9   1.8   317   419   753   852   744   854 0.86 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4838at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:11 2026
# [ok]
