#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   1   6  6.2e-114  3.1e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087960.1-p1      -            252 4376at5820           -            577   1.8e-33  114.1  15.7   1   1     4e-36     2e-33  113.9  15.7   174   365    56   250    19   252 0.72 | transcript=PVX_087960.1 | gene=PVX_087960 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=Pv_Sal1_chr01:317699-318618(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 4376at5820           -            577   4.3e-16   56.7  43.4   1   2   8.5e-19   4.3e-16   56.7  43.4    23   191   544   719   531   733 0.88 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 4376at5820           -            577   4.3e-16   56.7  43.4   2   2      0.66   3.3e+02   -2.4  23.3   262   344   760   840   750   851 0.81 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 4376at5820           -            577   1.3e-08   32.0  36.2   1   4   3.5e-05     0.017   11.8  12.1    99   152    99   152    89   156 0.71 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 4376at5820           -            577   1.3e-08   32.0  36.2   2   4   2.5e-11   1.3e-08   32.0  36.2    78   192   124   236   123   238 0.87 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 4376at5820           -            577   1.3e-08   32.0  36.2   3   4    0.0032       1.6    5.3   9.8    98   139   222   267   217   279 0.76 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 4376at5820           -            577   1.3e-08   32.0  36.2   4   4       2.2   1.1e+03   -4.1  12.5    76   160   252   334   251   342 0.56 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 4376at5820           -            577   9.6e-06   22.5  30.4   1   3   1.9e-08   9.6e-06   22.5  30.4    77   190   156   271   142   280 0.83 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 4376at5820           -            577   9.6e-06   22.5  30.4   2   3     0.022        11    2.5  21.8   100   167   224   296   223   301 0.69 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 4376at5820           -            577   9.6e-06   22.5  30.4   3   3       7.3   3.7e+03   -5.8  21.7    91   144   245   303   244   335 0.60 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 4376at5820           -            577   0.00025   17.9  41.0   1   2   8.9e-05     0.045   10.4  10.4    96   138    44    86    31    90 0.77 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 4376at5820           -            577   0.00025   17.9  41.0   2   2   8.9e-05     0.045   10.4  26.9    92   221    88   216    78   239 0.77 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 4376at5820           -            577      0.74    6.4  38.8   1   2   0.00022      0.11    9.1   9.5    91   141    74   124    58   126 0.80 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 4376at5820           -            577      0.74    6.4  38.8   2   2     0.018       9.2    2.8  23.0    90   176   121   210   112   293 0.59 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4376at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:14 2026
# [ok]
