#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114815.1-p1      -            201 13425at5820          -            164   1.1e-95  316.8  26.0   1   2   7.8e-38   2.3e-35  120.7   4.3     1    87     1    86     1    88 0.91 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 13425at5820          -            164   4.7e-05   22.1   1.3   1   4   1.6e-07   4.7e-05   22.1   1.3     3    66     9    75     7    99 0.72 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 13425at5820          -            164   4.7e-05   22.1   1.3   2   4       2.5   7.3e+02   -1.3   1.1    54    80   134   161   126   176 0.61 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 13425at5820          -            164   4.7e-05   22.1   1.3   3   4       1.2   3.5e+02   -0.3   3.6    41    82   191   230   178   253 0.71 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 13425at5820          -            164   4.7e-05   22.1   1.3   4   4       7.7   2.2e+03   -2.9   0.2     5    41   665   700   661   703 0.73 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081350.1-p1      -            308 13425at5820          -            164   0.00024   19.8   1.8   1   1   1.6e-06   0.00046   18.9   1.8    17   116    87   198    78   210 0.65 | transcript=PVX_081350.1 | gene=PVX_081350 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:267510-269405(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 13425at5820          -            164   0.00045   18.9   0.1   1   1   3.3e-06   0.00096   17.9   0.1     2    66    27    85    26   110 0.84 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 13425at5820          -            164    0.0037   15.9   3.1   1   3     2e-05    0.0059   15.3   0.0     2    34     8    40     7    66 0.86 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 13425at5820          -            164    0.0037   15.9   3.1   2   3       2.2   6.3e+02   -1.1   0.1    42    55   118   131   112   156 0.76 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 13425at5820          -            164    0.0037   15.9   3.1   3   3       4.4   1.3e+03   -2.1   0.1    73    96   227   248   212   263 0.59 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13425at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:12 2026
# [ok]
