#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094435.1-p1      -            341 9722at5820           -            288  9.5e-158  522.6  35.9   1   3  7.8e-118  5.4e-115  382.3  16.7     1   206     1   215     1   219 0.96 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 9722at5820           -            288   6.1e-07   27.7   6.4   2   3    0.0072         5    5.0   0.6   256   283    93   120    70   125 0.77 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 9722at5820           -            288   6.1e-07   27.7   6.4   3   3   4.4e-07    0.0003   18.9   0.5   114   249   146   274   139   287 0.79 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9722at5820           -            288   1.5e-06   26.4  17.4   1   5   0.00045      0.31    9.0   0.0    21    53    17    50     3    54 0.81 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9722at5820           -            288   1.5e-06   26.4  17.4   2   5       2.1   1.5e+03   -3.1   0.8   159   209   136   186   109   216 0.53 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9722at5820           -            288   1.5e-06   26.4  17.4   3   5       3.4   2.3e+03   -3.7   0.0    62    83   206   230   188   235 0.72 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9722at5820           -            288   1.5e-06   26.4  17.4   4   5    0.0024       1.7    6.6   0.1   203   242   279   318   264   341 0.72 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9722at5820           -            288   1.5e-06   26.4  17.4   5   5   9.3e-07   0.00064   17.8   5.0    58   195   337   487   320   494 0.72 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9722at5820           -            288   1.7e-05   22.9  36.2   1   3   0.00059       0.4    8.6  13.4   122   248    16   144     3   147 0.74 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9722at5820           -            288   1.7e-05   22.9  36.2   2   3   2.6e-08   1.8e-05   22.9  23.0    42   271    47   274    43   295 0.75 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9722at5820           -            288   1.7e-05   22.9  36.2   3   3       1.2   8.1e+02   -2.2   0.9    65    84   338   357   314   378 0.58 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9722at5820           -            288   0.00049   18.2  19.2   1   4     0.066        46    1.9   0.0    16    49    88   121    80   136 0.80 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9722at5820           -            288   0.00049   18.2  19.2   2   4   0.00054      0.37    8.7   3.0   114   193   216   294   200   313 0.75 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9722at5820           -            288   0.00049   18.2  19.2   3   4   1.1e-05    0.0078   14.2   0.1   205   246   403   444   391   449 0.86 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9722at5820           -            288   0.00049   18.2  19.2   4   4     0.048        33    2.3   0.2   138   188   446   498   443   509 0.70 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9722at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9722at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9722at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:26 2026
# [ok]
