#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   1  10     3e-12   5.5e-09   32.9   2.4     1    38     1    39     1    58 0.82 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117505.1-p1      -            795 1177at5820           -           1061   1.3e-15   54.9  36.1   2   2   5.1e-16   9.4e-13   45.4  28.3   698  1058   377   721   334   724 0.76 | transcript=PVX_117505.1 | gene=PVX_117505 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr12:1914479-1916866(-) | protein_length=795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080570.1-p1      -            288 1177at5820           -           1061    0.0043   13.4   0.1   1   1     4e-06    0.0073   12.7   0.1   793   884    57   138    30   144 0.72 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1177at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:38 2026
# [ok]
